authors,title,journal,publishingYear,doi,topic,abstract,score,Reviewed
"de lima, rc; félix, f; haase, b; secchi, er",antarctic sea ice as a driver of humpback whale migration timing in the southeast pacific,polar biology,2025,10.1007/s00300-025-03410-9,overwintering,"understanding the drivers behind shifts in migration patterns is crucial for managing human activities that may affect whale populations and for assessing the ecological impacts of climate change on migratory species. this study investigates environmental factors influencing the migratory timing of humpback whales (megaptera novaeangliae) in the eastern tropical pacific (breeding stock g), using systematic shore-based observations from ecuador between 2010 and 2023. we analyzed variables including antarctic sea ice extent (sie) and chlorophyll-a concentration (as a proxy for antarctic krill density), the oceanic ni & ntilde;o index, southern annular mode index, and the peruvian coastal thermal index to assess their relationship with whale arrival dates and residency at the breeding grounds. our findings show significant interannual variability in migration timing. for both with-calf and non-calf groups, sie during the previous winter was positively correlated with arrival dates, onset of calving, and time spent at the breeding area. broader sea ice extent likely enhances krill recruitment, increasing prey availability and allowing whales to build sufficient energy reserves to support longer stays at reproductive sites. this study highlights the potential negative effects of antarctic sea ice loss on whale migration patterns. krill fisheries should adopt precautionary strategies that account for year-to-year variability in prey availability to avoid disrupting whale foraging. moving forward, it is vital to monitor these changes continuously and to evaluate their broader ecological consequences to ensure the long-term viability of migratory marine species in a changing climate.",65,
"cao, z; zhu, gp","using fatty acids and stable isotope analyses to elucidate ontogenetic variations in diet of painted notothen lepidonotothen larseni during winter at the south georgia shelf, antarctic",fisheries research,2025,10.1016/j.fishres.2024.107218,overwintering,"fish belonging to the nototheniidae family are considered to be the most significant members of the notothenioids family and are essential to the antarctic marine ecology. however, the trophic dynamics of some unexploited species, including semi-pelagic painted notothen lepidonotothen larseni, remains unknown. this study used fatty acids (fas) and stable isotope indicators to examine the shift in diet from early juvenile to adult stages at south georgia throughout winter in order to improve our understanding of the dietary diversity and trophic niche of l. larseni. thirty different types of fatty acids were found in the muscular tissues of early juveniles (4.10-4.85 cm) and adults (8.7-14.9 cm), yet there was a notable variation in the composition of fas between the two groups. fas including c22:6n3, c22:2n6, c16:1n7, and c20:5n3 were found in high amounts in both early juveniles and adults. both the delta 15n and delta 13c values of adults were significantly higher than those of early juveniles, suggesting an ontogenetic shift in l. larseni's diet and trophic niche separation between the two stages of development. significant separation in marker fas was also observed between early juveniles and adults. early juvenile l. larseni primarily fed on pelagic algae or copepods, whereas adults predominantly fed on antarctic krill ( euphausia superba) on the seafloor and in the water column.",58,
"germishuizen, m; vichi, m; vermeulen, e",population changes in a southern ocean krill predator point towards regional antarctic sea ice declines,scientific reports,2024,10.1038/s41598-024-74007-1,overwintering,"while foraging, marine predators integrate information about the environment often across wide-ranging oceanic foraging grounds and reflect these in population parameters. one such species, the southern right whale (eubalaena australis; srw) has shown alterations to foraging behaviour, declines in body condition, and reduced reproductive rates after 2009 in the south african population. as capital breeders, these changes suggest decreased availability of their main prey at high-latitudes, antarctic krill (euphausia superba). this study analysed environmental factors affecting prey availability for this population over the past 40 years, finding a notable southward contraction in sea ice, a 15-30% decline in sea ice concentration, and a more than two-fold increase in primary production metrics after 2008. these environmental conditions are less supportive of antarctic krill recruitment in known srw foraging grounds. additionally, marginal ice zone, sea ice concentration and two primary production metrics were determined to be either regionally significant or marginally significant predictors of calving interval length when analysed using a linear model. findings highlight the vulnerability of recovering baleen whale populations to climate change and show how capital breeders serve as sentinels of ecosystem changes in regions that are difficult or costly to study.",56,
"ryabov, a; berger, u; blasius, b; meyer, b",driving forces of antarctic krill abundance,science advances,2023,10.1126/sciadv.adh4584,overwintering,"antarctic krill, crucial to the southern ocean ecosystem and a vital fisheries resource, is endangered by climate change. identifying drivers of krill biomass is therefore essential for determining catch limits and designating protection zones. we present a modeling approach to pinpointing effects of sea surface temperature, ice cover, chlorophyll levels, climate indices, and intraspecific competition. our study reveals that larval recruitment is driven by both competition among age classes and chlorophyll levels. in addition, while milder ice and temperature in spring and summer favor reproduction and early larval survival, both larvae and juveniles strongly benefit from heavier ice and colder temperatures in winter. we conclude that omitting top-down control of resources by krill is only acceptable for retrospective or single-year prognostic models that use field chlorophyll data but that incorporating intraspecific competition is essential for longer-term forecasts. our findings can guide future krill modeling strategies, reinforcing the sustainability of this keystone species.",55,
"zhu, jy; yang, qy; xue, m; yan, cb; zhu, gp","fatty acid profiles of mackerel icefish champsocephalus gunnari reflect diet variability of its main prey, antarctic krill euphausia superba",marine ecology progress series,2025,10.3354/meps14816,overwintering,"understanding predator-prey interactions in southern ocean ecosystems is critical for assessing trophic dynamics. antarctic krill euphausia superba, a keystone species in the southern ocean ecosystem, supports numerous populations of higher trophic level predators. despite a critical need to understand its feeding ecology, access limits direct studies, particularly during winter when extensive sea ice constrains sampling. this study therefore explores whether the fatty acids of mackerel icefish champsocephalus gunnari, a key predator of krill, can provide insights into krill diet composition. by analyzing the fatty acids of c. gunnari and e. superba from south georgia during winter and from the south orkney islands during the summer, we assessed differences in krill diets and the transfer of dietary signals from prey to predator. stomach content analysis confirmed e. superba as the predominant prey of c. gunnari, whereas fatty acid analysis revealed significant differences between the south georgia and south orkney islands samples. the fatty acid patterns of c. gunnari closely reflected those of e. superba, suggesting that prey diet composition drove predator fatty acid variations rather than dietary diversity of the predator. calibration coefficients further highlighted consistent patterns of fatty acid transfer between regions. these findings demonstrate that c. gunnari can act as a natural sampler for e. superba, offering a novel approach to infer e. superba feeding ecology during periods of limited direct sampling. these insights enhance understanding of predator-prey interactions in the southern ocean ecosystem, where shifts in prey availability and composition could have cascading effects on higher trophic level predators.",52,
"abe, k; matsukura, r; yamamoto, n; amakasu, k; nagata, r; murase, h",biomass of antarctic krill (euphausia superba) in the eastern indian sector of the southern ocean (80-150°e) in the 2018-19 austral summer,progress in oceanography,2023,10.1016/j.pocean.2023.103107,overwintering,"biomass of antarctic krill (euphausia superba) in the eastern indian sector of the southern ocean (80-150 degrees e, corresponding to the longitudinal range of ccamlr division 58.4.1) in the austral summer of 2018-19 was estimated using data from a calibrated echosounder and biological sampling. this study was carried out as a part of the multidisciplinary ecosystem survey (ky1804) by japanese research vessel kaiyo-maru. the krill biomass was estimated using an up-to-date standard method of ccamlr, the ""swarm-based method"". biomass of krill in the area had not been estimated since 1996 (broke survey). ky1804 covered a total of 4680 km of the surveyed distance in the surveyed area of 0.909 million km2. krill were mainly distributed between the southern antarctic circumpolar current front and the antarctic slope front. the krill biomass during ky1804 was estimated as 4.325 million tonnes (cv = 17.0%), comparable with the 1996 broke estimate (4.83 million tonnes, cv = 17.0%); however, direct comparison is difficult because of differences in (1) biomass estimation methods; (2) timing of the surveys (ky1804 commenced about 40 days earlier in the year than broke); and (3) areal coverage, primarily because of different positions of the sea ice edge, especially in the western part of the area. there was no noticeable difference of krill biomass between day and night. this study provides a 2018-19 biomass estimate for antarctic krill in the eastern indian sector of the southern ocean, which is a basis for studies of this species as well as the southern ocean ecosystem.",49,
"zhu, jy; zhu, gp",trophic linkage between mackerel icefish (champsocephalus gunnari) and antarctic krill (euphausia superba) at south georgia,fisheries research,2022,10.1016/j.fishres.2022.106366,overwintering,"mackerel icefish, champsocephalus gunnari, plays a vital role in the antarctic marine ecosystem, not only because it is an important prey for higher predators but also because it is the primary predator of antarctic krill (euphausia superba), a keystone species in the southern ocean. therefore, elucidating the trophic linkage between c. gunnari and its exclusive prey can provide a model for the trophic relationship between a predator and its prey in cold environments. stomach contents analysis showed that e. superba was the predominant prey of c. gunnari in terms of quantity (99.3%) and quality (99.9%) during winter at south georgia. e. superba had a similar fatty acid profile to that of c. gunnari, with a high proportion of short-chain monounsaturated fatty acids (mufa) and a lower proportion of long-chain mufa. however, c. gunnari was more likely to retain polyunsaturated fatty acids, especially docosahexaenoic; e. superba tended to accumulate saturated fatty acids and mufa. this reflects the fact that fatty acids, when transferred from low trophic level to higher levels, are accumulated in the predator selectively, according to their relative content in the diet and their physiological and ecological function in the predator.",46,
"feng, jl; liu, ll; liu, ql; zhao, l",the potential distribution of adult antarctic krill in the amundsen sea,journal of oceanology and limnology,2022,10.1007/s00343-021-1181-z,overwintering,"antarctic krill is the key species of ecological system in the amundsen sea. at present, the suitable distribution is unobtainable by scientific surveys or data from the fishery. in this paper, the maximum entropy algorithm (maxent) was used to obtain the potential distribution of adult antarctic krill in order to provide useful information and reasonable reference for the policy on protecting potential krill habitats around the amundsen sea. occurrence points and 17 environmental variables were used to simulate the distributions. results show that the high and moderate suitable habitats lie between 65 degrees s and 72 degrees s in the amundsen sea. the high suitable habitat accounts for 8.1% of the total area of the amundsen sea. the sea ice persistence (ice), total phytoplankton (phyc), and the minimum value of dissolved iron (fe_min) are the three dominant contributors to the model. results from the response curves show that antarctic krill preferred habitats with ice of 0.42-0.93, phyc of 2.48-2.77 mmol/m(3) and fe_min of (7.10x10(-5))-(9.45x10(-5)) mmol/m(3). positive trends existed in the phyc of the high and moderate suitable habitat, and a positive trend existed in the fe_min of moderate suitable habitat. however, the probability of presence of antarctic krill will decrease if the increase of the phyc and fe_min continues.",46,
"juáres, ma; santos, mm; perchivale, pj; sia, mgr; sandler, r; pereira, a; blanco, g; campana, gl; moreira, e; casaux, r; libertelli, m",the importance of antarctic krill in the non-breeding and breeding diet of gentoo penguins at a colony of the south shetland islands,polar biology,2025,10.1007/s00300-025-03402-9,overwintering,"understanding predator-prey relationships is essential to monitor antarctic marine ecosystem structure and function, assess changes in prey and predator abundances, and provide tools for effective conservation measures. despite this, diet studies of antarctic predators conducted with traditional methods are limited outside the breeding period mainly due to constraints associated with the life-history strategies of the predators and the sampling logistics and operability. at stranger point/cabo funes (25 de mayo/king george island), the diet composition of gentoo penguins (pygoscelis papua) was characterized during four stages of the annual cycle (i.e. non-breeding and pre-breeding stages of 2022, and guard and cr & egrave;che stages of the 2022/2023 breeding season) by the analysis of stomach contents obtained by using the water-offloading technique. antarctic krill (euphausia superba) dominated the diet of gentoo penguins in terms of frequency of occurrence and percentage in mass, followed by fish and amphipods. however, the diet composition changed seasonally, with a decrease in the contribution of fish and amphipods as the year progressed. furthermore, higher individual variability was observed outside the breeding period than during the chick-rearing period. our results indicate that krill was an important fraction of the non-breeding and breeding diet. however, outside the breeding period, the mean krill size consumed was smaller and the proportion of juvenile krill was higher than that recorded in the chick-rearing period. thus, sampling the diet of the gentoo penguin outside the breeding period could provide valuable information on the krill size composition during the austral autumn and winter.",46,
"salmerón, n; belle, s; cruz, fs; alegria, n; finger, jvg; corá, dh; petry, mv; hernández, c; cárdenas, ca; krüger, l",contrasting environmental conditions precluded lower availability of antarctic krill affecting breeding chinstrap penguins in the antarctic peninsula,scientific reports,2023,10.1038/s41598-023-32352-7,overwintering,"dramatic decreases of chinstrap penguin populations across the antarctic peninsula (ap) are thought to be influenced by climate-driven changes affecting its main prey, the antarctic krill, however, empirical evidence supporting such hypotheses are scarce. by coupling data on breeding chinstrap penguins, environmental remote sensing and estimates of krill acoustic density, we were able to demonstrate that penguins substantially increased their foraging effort in a year of low krill availability, with consequent reduction in breeding success. a winter of low sea ice cover followed by a summer/spring with stronger wind and lower marine productivity explained the lower and deeper krill availability. our results highlight the importance of environmental variability on penguin populations, as variability is expected to increase under climate change, affecting foraging behaviour responses.",44,
"ichii, t; igarashi, h; mori, m; mahapatra, k; nishikawa, h; okuda, t",impact of the climate regime shift around 2000 on recruitment of antarctic krill at the antarctic peninsula and south georgia,progress in oceanography,2023,10.1016/j.pocean.2023.103020,overwintering,"we examined how the climate regime shift around 2000 affected antarctic krill recruitment variability at the north antarctic peninsula (nap) and south georgia (sg) during the period of 1990s through to 2000s. we used sea surface temperature (sst) as a proxy of the monthly sea ice extent and related it to the recruitment index (proportion of 1-year-old krill) of each succeeding year for nap and sg by examining the correlation of the time series before and after 2000. for nap, recruitment index was negatively correlated with winter sst at nap in the 1990s but with autumn sst in the 2000s, suggesting that good recruitment was supported by extensive winter sea-ice in the 1990s but by extensive autumn sea-ice in the 2000s. this was attributed to the regime shift featured by winter warming and autumn cooling after 2000. for sg, recruitment was negatively correlated with winter sst at nap in the 1990s but positively correlated with autumn sst in the southern scotia sea (sss) in the 2000s. according to particle tracking experiment from nap to sg in relation to the sea-ice extent and position of saccf (southern antarctic circumpolar current front), less sea-ice extent in 2000s meant less larvae distributing as north as saccf, resulting in much fewer larval being transported to sg. hence, we hypothesized that the regime shift weakened the connection between nap and sg, but instead sss became the main driver of recruitment at sg. we presume the krill population demonstrated adaptability to the regime shift by offsetting the unfavorable winter condition with the favorable autumn condition at nap and for sg, replacing the source of recruits with those closer to it.",39,
"sylvester, zt; veytia, d; bahl, aa; bahlburg, d; benkort, d; bestley, s; cagdas, b; cleary, ac; constable, a; corney, s; fach, ba; hellessey, n; hill, sl; johnston, nm; labrousse, s; merkel, b; murphy, ej; subramaniam, rc; thorpe, s; raymond, b",untangling the complexities of larval antarctic krill overwintering success under climate change,ices journal of marine science,2025,10.1093/icesjms/fsaf049,overwintering,"antarctic krill (euphausia superba) are integral to southern ocean pelagic ecosystems. winters with extensive sea ice have been linked to high post-larval krill recruitment the following spring, suggesting that sea ice plays a critical role in larval overwinter survival. as the ocean warms and sea ice declines under climate change, understanding the mechanisms linking sea ice and krill recruitment is increasingly urgent. to address this, we developed a qualitative network model (qnm) that integrates evidence-based and hypothesized interactions to explore larval overwinter survival and growth under future climate scenarios in the southwest atlantic sector. our model highlights habitat-specific impacts, with substantial declines predicted for the north antarctic peninsula continental shelf due to reduced autumn primary productivity and warming. in contrast, survival may improve in open-ocean habitats under cooler scenarios that enhance sea-ice-associated processes, such as food availability and refuge. the inclusion of hypothesized mechanisms, such as sea-ice terraces providing refuge from predation, strengthened these conclusions and highlighted critical uncertainties, including the influence of glacial melt on food web dynamics. these findings demonstrate the value of qnms in complementing quantitative approaches, offering a framework for identifying critical mechanisms, addressing knowledge gaps, and guiding future field and laboratory studies to improve predictions of krill responses to climate change.",35,
"pietzsch, bw; schmidt, a; groeneveld, j; bahlburg, d; meyer, b; berger, u",the impact of salps (salpa thompsoni) on the antarctic krill population (euphausia superba): an individual-based modelling study,ecological processes,2023,10.1186/s13717-023-00462-9,spawning,"background krill (euphausia superba) and salps (salpa thompsoni) are key macrozooplankton grazers in the southern ocean ecosystem. however, due to differing habitat requirements, both species previously exhibited little spatial overlap. with ongoing climate change-induced seawater temperature increase and regional sea ice loss, salps can now extend their spatial distribution into historically krill-dominated areas and increase rapidly due to asexual reproduction when environmental conditions are favorable. understanding the potential effects on krill is crucial, since krill is a species of exceptional trophic significance in the southern ocean food web. negative impacts on krill could trigger cascading effects on its predators and prey. to address this question, we combined two individual-based models on salps and krill, which describe the whole life cycle of salp individuals and the dynamic energy budget of individual krill. the resulting new model pekris (performance of krill vs. salps) simulates a krill population for 100 years under varying chlorophyll-a concentrations in the presence or absence of salps.results all of the investigated krill population properties (abundance, mean length, and yearly egg production) were significantly impacted by the presence of salps. on the other hand, salp density was not impacted if krill were present. the medians of krill population properties deviated during variable maximum chlorophyll-a density per year when salps were introduced by - 99.9% (- 234 individuals per 1000 m3) for krill density, - 100% (- 22,062 eggs per 1000 m3) for krill eggs and - 0.9% (- 0.3 mm) for mean length of krill.conclusions if both species compete for the same food resource in a closed space, salps seem to inhibit krill populations. further simulation studies should investigate whether this effect prevails if different phytoplankton sizes and consumption preferences of krill are implemented. furthermore, direct predation of the two species or consumption of krill fecal pellets by salps could change the impact size of the food competition.",117,DONE
"perry, fa; sailley, sf; atkinson, a; mayor, dj; lucas, ch; tarling, ga",seasonal and spatial patterns of adult antarctic krill at the antarctic peninsula: insights from a 41 year data analysis,marine ecology progress series,2025,10.3354/meps14899,spawning,"locating the spawning grounds of antarctic krill euphausia superba is key to understanding their population dynamics and managing the commercial krill fishery. in the shelf waters of the antarctic peninsula where krill and their fishery are concentrated, a recent relaxation of fishing quotas has meant that locally successful spawning grounds could become increasingly targeted. this study revisits the existing paradigm that in summer, larger adult krill migrate away from these shelf-based fishing grounds, out towards oceanic waters to spawn off the shelf break (>1000 m). our findings support a seasonal on-shelf division of adult krill, with smaller krill closer inshore. however, contrary to current understanding, our results suggest that 85% of the largest and most fecund >50 mm krill remain on-shelf during the summer spawning season. all adults (>30 mm) were strongly concentrated over the shelf throughout the whole spring-summer-autumn transition, with no evidence for any summer redistribution off-shelf. the western antarctic peninsula (wap) has strong on-shelf-off-shelf gradients in chlorophyll a and sea surface temperature, and based on generalised additive models, our study suggests that the high food requirement of adult krill, coupled with an oligotrophic off-shelf environment, contributes to the distribution of krill observed at the antarctic peninsula. the concentration of large, nutritious krill over the shelf throughout the season may be advantageous to land-based predators but raises concern for the management of fisheries that are becoming increasingly concentrated within the key adult krill habitat along the northern shelf of the wap.",81,
"liu, y; zhu, gp",reproductive strategy of antarctic krill (euphausia superba) in the south scotia sea: revisiting the oocyte development and morphological changes with multiple seasonal analysis,journal of oceanology and limnology,2025,10.1007/s00343-025-4135-z,spawning,"antarctic krill (euphausia superba) is a keystone species in the southern ocean; however, seasonal variations in reproductive development for krill are complex and remains unknown. a histological investigation with observations of external secondary sex features of krill in the south scotia sea region was carried out using a multi-seasonal dataset for detail reproductive descriptions for this commercially important species. the monthly development of secondary sexual characteristics, the thelycum, as well as of oocytes over a period of two years were described. it was observed that krill have diverse reproductive development characteristics within the ovary, and that this function differently between the juvenile, sub-adult, and adult stages. during the summer, adult krill ovaries are large and ripe with oocytes rich in yolk ready for release in late summer. post spawning, the ovaries resorb, fragment, and regress throughout the autumn and winter. during reproductive diapause period, krill focus on absorbing nutrients. un-released eggs are reabsorbed by the ovary, the permanent germinal zone is active, and early oocytes begin to develop in preparation for the egg production phase. krill that are about to spawn have an ovary that fills the space between the digestive gland and muscle. the ovarian development of krill is divided into 10 sexual developmental stages. as a part of this study, data on the carapace thickness with similar development patterns in krill size and carapace width, was investigated for the first time to help understand krill growth and development.",80,
"meyer, b; arata, ja; atkinson, a; bahlburg, d; bernard, k; cárdenas, ca; grant, sm; hill, sl; hüppe, l; ichii, t; kawaguchi, s; krafft, ba; labrousse, s; maschette, d; piñones, a; reiss, c; siebenhüner, b; sylvester, z; ziegler, p",adjusting the management of the antarctic krill fishery to meet the challenges of the 21st century,proceedings of the national academy of sciences of the united states of,2025,10.1073/pnas.2412624122,spawning,"antarctic krill (euphausiasuperba) is the central prey species in the southern ocean food web, supporting the largest and fastest-growing fishery in the region, managed by the commission for the conservation of antarctic marine living resources (ccamlr). climate change is threatening krill populations and their predators, while current catch limits do not take into account climate variability or krill population dynamics. in 2024, ccamlr was unable to renew its spatial catch limits, highlighting the urgent need for improved management of the krill fishery to prevent any harm to the southern ocean ecosystem. to address this, we propose a management framework that integrates variability in krill recruitment and key pathways between spawning and nursery areas-a krill stock hypothesis-to inform decisions on catch limits and conservation measures. implementing this approach will require targeted data collection, which we propose can be achieved through a multisector collaborative network that combines traditional and new technologies, including the use of fishing vessels as data collection platforms. we use case studies to demonstrate how fisheries can contribute to data collection while promoting sustainable management. a major challenge in this effort is securing long-term funding for data collection, which is critical for managing climate-sensitive populations of high commercial interest. we therefore recommend using the industry as a source of funding, research platform and data provider, alongside national research funding opportunities. given the fundamental role of krill in the southern ocean ecosystem, its decline would have cascading effects on predators and essential ecosystem services.",72,
"schaafsma, fl; driscoll, r; matsuno, k; sugioka, r; driscoll, s; van regteren, m; sasaki, h; matsukura, r; van franeker, ja; murase, h","demography of antarctic krill (euphausia superba) from the ky1804 austral summer survey in the eastern indian sector of the southern ocean (80 to 150˚e), including specific investigations of the upper surface waters",frontiers in marine science,2024,10.3389/fmars.2024.1411130,spawning,"antarctic krill (euphausia superba) is a harvested species that has an important role in the southern ocean food web. knowledge on the demography of antarctic krill is necessary for a better understanding of the distribution of life stages and their relation with predator species. in addition, such information is essential for krill fisheries management by ccamlr (commission on the conservation of antarctic marine living resources). a large part of the indian sector of the southern ocean is understudied and large-scale krill surveys of this region are scarce. therefore, a survey was carried out during the austral summer of 2018/2019 on board rv kaiyo-maru in the region from 80 to 150 & ring;e. krill was collected using a rectangular midwater trawl (rmt). previous studies suggest that part of the antarctic krill population resides in the upper surface of the water column, but traditional trawls and echosounders have not been able to fully investigate this stratum due to sampling constraints. to overcome this knowledge gap, the upper surface (0-2 m) was sampled using a surface and under ice trawl (suit) in addition to the standard survey net. results show that there were differences in the horizontal and vertical distribution of post-larval krill between the area west and east of approximately 120 & ring;e. these differences coincided with variation in environmental properties. early calyptopis larvae were found throughout the survey area. their relatively low numbers suggested ongoing spawning that started early in the season. juveniles were found mainly in the western side of the sampling area and large densities of this developmental stage were found to reside in the upper two meters of the water column. the quantitative estimation of krill in the upper surface indicated that undersampling this part of the population may influence estimates of, for example, recruitment.",71,
"zhang, ht; zhu, gp; liu, h; swadling, km",autumn food availability in bransfield strait for antarctic krill euphausia superba and the relationship between body size and fatty acid content,marine ecology progress series,2024,10.3354/meps14517,spawning,"bransfield strait is an important spawning, feeding and overwintering ground for antarctic krill. increases in both the biomass of krill and the ice-free extent of the strait make this area of great interest for krill fisheries. while krill are known to have access to food supplies beyond summer, lipid accumulation plays a pivotal role in their ability to survive the food-limited winter. understanding the condition and dietary habits of krill during the pre-winter season is important for assessing how they respond to this period that is often characterized by short-lived phytoplankton blooms. for 5 consecutive autumns, from 2015 to 2019, krill obtained from the fishery in bransfield strait were used to assess their diet and to evaluate the roles of individual body condition and habitat features in shaping krill fatty acid profiles. analysis of dietary fatty acids in krill indicated that they were generally in an active feeding condition in autumn, showing significant levels of essential fatty acids such as eicosapentaenoic acid (epa) and docosahexaenoic acid (dha). fatty acid biomarkers displayed substantial inter-annual variation, with satellite data suggesting that sea surface temperature could be a potential factor contributing to this variation. additionally, we observed strong correlations between krill body size and most of the fatty acid contents. there were positive correlations between size, epa and dha as well as negative correlations between size and a carnivorous diet. these findings suggest that krill exhibit differentiated feeding abilities and lipid retention based on their size.",67,
"li, s; yang, jl; zhao, gq; huang, hl; rao, x; chen, s; li, lz",analysis of the population characteristics of antarctic krill in the amundsen sea,polar biology,2025,10.1007/s00300-025-03431-4,spawning,"the fluctuations in the krill population profoundly impact marine ecosystems and are key indicators of ecosystems in the southern ocean. in this paper, we analyzed the basic biological characteristics of antarctic krill in the amundsen sea and studied its age structure using the bhattacharya's method based on the 38th-39th chinese national antarctic research expeditions. the results revealed that the antarctic krill in the amundsen sea may have been a spawning population during the survey period. the mean length (total length, at) and weight were 42.38 mm and 0.72 g, respectively, and the length-weight relationship was w = 9.62966e-6l(2.95612) (r-2 = 0.92769, n = 921). the diameter of the compound eye varied from 0.29 mm to 1.23 mm, and the mean was 0.78 mm. a pearson correlation test revealed a strong correlation between length and compound eye diameter (p < 0.001, n = 802). the proportions of juveniles and adults were 15.96% and 84.04%, respectively; the female-to-male ratio among adults was 2.69:1; the gravid female group was 23.76%, and the non-gravid female group was 76.24%. there was a significant difference in the relationship between length and weight among the juvenile, adult female and male groups and between the gravid female and non-gravid female groups. the results of the age structure composition of antarctic krill based on length mixture distribution analysis is superior to those based on compound eye diameter mixture distribution analysis. the age group of the antarctic krill ranged from 0 to 4(+) years old, and the majority were 3(+) to 4(+) years old (63.96%). the age groups of the adult females ranged from 1(+) to 4(+) years old, with 3(+) to 4(+)years old predominating (81.99%), and the adult males were 1(+) and 3(+) to 4(+) years old, which included mainly groups that were 3(+) to 4(+) years old (86.60%).",67,
"steinke, kb; bernard, ks; reiss, cs; walsh, j; correa, gm; stammerjohn, se",factors impacting the timing of reproductive development in female antarctic krill at the northwestern antarctic peninsula,frontiers in marine science,2024,10.3389/fmars.2024.1383175,spawning,"the northwestern antarctic peninsula is an important spawning, recruitment, and overwintering ground for antarctic krill. the region is warming rapidly, and the current impacts of climate and environmental variability on the reproductive cycle of krill remain unclear. here, we examine the reproductive stage of female krill in the austral winter from 2012 to 2016 in relation to climate and environmental data to assess what factors influence the timing of reproductive development. we observed significant interannual variability in the degree of maturation in female krill, ranging from 48% of female krill measured at a station in 2016 to a maximum of 94% of female krill measured at a station in 2014. on average, across all five years, three-quarters of the female krill sampled were in the stage known as previtellogenesis, the point at which the onset of sexual maturity begins. the preceding spring, summer, and autumn southern annular mode and the multivariate el ni & ntilde;o index explained most of the variance in the data and indicated a strong, preconditioning storm-related effect on environmental conditions leading up to winter, affecting krill maturation status at the end of the winter season. results from our study can be used to improve krill population models that are necessary for the management of the krill fishery and for conservation at the northwestern antarctic peninsula.",63,
"atkinson, a; hill, sl; reiss, cs; pakhomov, ea; beaugrand, g; tarling, ga; yang, g; steinberg, dk; schmidt, k; edwards, m; rombolá, e; perry, fa",stepping stones towards antarctica: switch to southern spawning grounds explains an abrupt range shift in krill,global change biology,2022,10.1111/gcb.16009,spawning,"poleward range shifts are a global-scale response to warming, but these vary greatly among taxa and are hard to predict for individual species, localized regions or over shorter (years to decadal) timescales. moving poleward might be easier in the arctic than in the southern ocean, where evidence for range shifts is sparse and contradictory. here, we compiled a database of larval antarctic krill, euphausia superba and, together with an adult database, it showed how their range shift is out of step with the pace of warming. during a 70-year period of rapid warming (1920s-1990s), distribution centres of both larvae and adults in the sw atlantic sector remained fixed, despite warming by 0.5-1.0 degrees c and losing sea ice. this was followed by a hiatus in surface warming and ice loss, yet during this period the distributions of krill life stages shifted greatly, by similar to 1000 km, to the south-west. understanding the mechanism of such step changes is essential, since they herald system reorganizations that are hard to predict with current modelling approaches. we propose that the abrupt shift was driven by climatic controls acting on localized recruitment hotspots, superimposed on thermal niche conservatism. during the warming hiatus, the southern annular mode index continued to become increasingly positive and, likely through reduced feeding success for larvae, this led to a precipitous decline in recruitment from the main reproduction hotspot along the southern scotia arc. this cut replenishment to the northern portion of the krill stock, as evidenced by declining density and swarm frequency. concomitantly, a new, southern reproduction area developed after the 1990s, reinforcing the range shift despite the lack of surface warming. new spawning hotspots may provide the stepping stones needed for range shifts into polar regions, so planning of climate-ready marine protected areas should include these key areas of future habitat.",61,
"huang, xr; tan, r; geng, z; zhang, t; feng, gp; yang, g; zhao, f; zhuang, p",effects of antarctic krill meal in diet on reproductive performance and embryo quality of eriocheir sinensis,aquaculture nutrition,2024,10.1155/2024/9936529,spawning,"a 60-day feeding trial was conducted to evaluate the impact of dietary antarctic krill meal on the reproductive performance and embryo quality of the chinese mitten crab, eriocheir sinensis. three diets were formulated, incorporating varying levels of antarctic krill meal at 0% (diet k0), 10% (diet k10), and 20% (diet k20), with a control group fed razor clam sinonovacula constricta. each diet was randomly assigned to three replicate tanks, each stocked with 5 males and 10 females. male and female weights were 145.38 +/- 8.01 and 102.57 +/- 9.73 g, respectively. the results revealed no significant differences in weight gain rate, specific growth rate, and survival rate. however, the hepatopancreatic weight and hepatopancreas index of female crabs in each group decreased, while gonadal weight and gonadosomatic index increased significantly after 60 days, with diet k20 showing the highest values. egg production and fecundity of female crabs reached their peak in diet k20, with no significant differences in reproductive indices among all groups. the phospholipid content in diet k20 was significantly higher than in the other groups (p<0.05). cholesterol contents in diet k0 and the control group were significantly higher than in diet k10 and k20 (p<0.05). no significant differences were observed in egg diameter, egg weight, moisture, crude protein, and crude fat between the groups. the content of c20 : 2 and c20 : 4n6 was highest in diet k0, with a significant difference compared to diet k10 (p<0.05). however, no significant differences were found in the total content of saturated fatty acids, monounsaturated fatty acids, and polyunsaturated fatty acids among all groups. based on the research findings, it is recommended that the optimal level of antarctic krill meal in diets is 20%.",59,
