PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Endo, Y; Fujii, D; Nishitani, G; Wiebe, PH				Endo, Yoshinari; Fujii, Daiki; Nishitani, Goh; Wiebe, Peter H.			Life cycle of the suctorian ciliate Ephelota plana attached to the krill Euphausia pacifica	JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY												The hypothesis that life cycle of an epibiotic suctorian ciliate Ephelota piano is adapted to the molt cycle of the krill Euphausia pacifica collected in Saanich Inlet, Canada was evaluated. The infestation prevalence of E. planet and the number of individuals attached increased from postmolt stage to premolt stage of E. pacifica, and concurrently cell growth of E. plana was observed. Budding individuals of E. plana first appeared at early premolt stage and increased to 21% at late premolt stage. Thus the life cycle of E. piano seems to be adapted to the molt cycle of E. pacifica. (C) 2016 Elsevier B.V. All rights reserved.																	0022-0981	1879-1697				JAN	2017	486						368	372		10.1016/j.jembe.2016.11.003							WOS:000390495800045						
J	Kokubun, N; Kim, JH; Shin, HC; Naito, Y; Takahashi, A				Kokubun, Nobuo; Kim, Jeong-Hoon; Shin, Hyoung-Chul; Naito, Yasuhiko; Takahashi, Akinori			Penguin head movement detected using small accelerometers: a proxy of prey encounter rate	JOURNAL OF EXPERIMENTAL BIOLOGY												Determining temporal and spatial variation in feeding rates is essential for understanding the relationship between habitat features and the foraging behavior of top predators. In this study we examined the utility of head movement as a proxy of prey encounter rates in medium-sized Antarctic penguins, under the presumption that the birds should move their heads actively when they encounter and peck prey. A field study of free-ranging chinstrap and gentoo penguins was conducted at King George Island, Antarctica. Head movement was recorded using small accelerometers attached to the head, with simultaneous monitoring for prey encounter or body angle. The main prey was Antarctic krill (>99% in wet mass) for both species. Penguin head movement coincided with a slow change in body angle during dives. Active head movements were extracted using a high-pass filter (5 Hz acceleration signals) and the remaining acceleration peaks (higher than a threshold acceleration of 1.0. g) were counted. The timing of head movements coincided well with images of prey taken from the back-mounted cameras: head movement was recorded within +/- 2.5.s of a prey image on 89.1 +/- 16.1% (N=7 trips) of images. The number of head movements varied largely among dive bouts, suggesting large temporal variations in prey encounter rates. Our results show that head movement is an effective proxy of prey encounter, and we suggest that the method will be widely applicable for a variety of predators.																	0022-0949	1477-9145				NOV	2011	214	22					3760	3767		10.1242/jeb.058263							WOS:000296581500011	22031740					
J	EVERSON, I; WATKINS, JL; BONE, DG; FOOTE, KG				EVERSON, I; WATKINS, JL; BONE, DG; FOOTE, KG			IMPLICATIONS OF A NEW ACOUSTIC TARGET STRENGTH FOR ABUNDANCE ESTIMATES OF ANTARCTIC KRILL	NATURE																													0028-0836					MAY 24	1990	345	6273					338	340		10.1038/345338a0							WOS:A1990DF14900062						
J	Staniland, IJ; Pond, D				Staniland, IJ; Pond, D			Variability in milk fatty acids: recreating a foraging trip to test dietary predictions in Antarctic fur seals	CANADIAN JOURNAL OF ZOOLOGY												Using Antarctic fur seals (Arctocephalus gazella (Peters, 1875)) in a feeding trial, we investigated the use of milk fatty acids to determine diet. In a regime designed to replicate an average foraging trip, six female seals were fed on four successive days meals of krill (Euphausia superba Dana, 1850; day 1), mixed krill and icefish (Champsocephalus gunnari Lonnberg, 1905; day 2), and icefish (days 3 and 4). Four milk samples were collected from each female, one every 12 h from the time of the last feed. Fatty acid profiles of samples were analysed using canonical discriminant analysis and classification trees. Milk fatty acids could be used to distinguish between seals fed the experimental diet, which was high in fish, and those feeding naturally, thought to be consuming mostly krill. However, there was significant variation between individual seals, which may have been the influence of feeding prior to the experiment. Milk fatty acids remained relatively unchanged over time, suggesting that the influence of dietary fatty acids was averaged over the suckling period. We conclude that, whilst this technique has potential in studying the diet of higher predators, further work is needed to test the underlying assumptions and mechanisms involved in the transfer of fatty acids from the diet into milk.				Staniland, Iain/I-4725-2012	Staniland, Iain/0000-0003-2736-9134												0008-4301	1480-3283				JUL	2004	82	7					1099	1107		10.1139/Z04-088							WOS:000224706100012						
J	Suzuki, H; Sasaki, H; Fukuchi, M				Suzuki, H; Sasaki, H; Fukuchi, M			Loss processes of sinking fecal pellets of zooplankton in the mesopelagic layers of the antarctic marginal ice zone	JOURNAL OF OCEANOGRAPHY												A time-series sediment trap deployment was carried out in the marginal ice zone (MIZ) of the Antarctic Ocean (64degrees42' S, 139-58' E; sea depth of 2930 m), during the austral summer. Cylindrical fecal pellets were the predominant sinking particles at 537 in in the middle of January and most of them disappeared below that depth, the loss of which were 25.3 mg C m(-2) day(-1) in the depth range of 537-796 m. Small-sized sinking particles other than fecal pellets increased in that depth range. Analyses of fecal pellets for remnant DNA corresponding to 16S mitochondrial RNA and 28S ribosomal RNA suggested that the large cylindrical fecal pellets at 537 in were produced by Antarctic krill (Euphausia superba) and copepods. According to the presence of the DNA associated with sinking particles, E. superba fecal pellets rapidly disappeared below 537 in, while copepod fecal pellets still remained in the mesopelagic and bathypelagic layers. Small-sized amorphous sinking particles at 537 in also contained E. superba- and copepod-derived DNA. The abundance of trap-collected copepods (Oithona spp. and Oncaea spp.) which are known to be coprophagous increased at 796 in where many fecal pellets disappeared. We suggest that those rapidly sinking pellets were fragmented by copepods with intensified coprorhexy activity (fragmentation of fecal pellets) in the mesopelagic layers, reducing their sinking rates. These smaller and slower sinking particles can be important food sources for detritivorus or coprophagous animals in mesopelagic and bathypelagic layers in the MIZ.																	0916-8370					DEC	2003	59	6					809	818		10.1023/B:JOCE.0000009572.08048.0d							WOS:000186403900005						
J	Staniland, IJ; Boyd, IL				Staniland, IJ; Boyd, IL			Variation in the foraging location of Antarctic fur seals (Arctocephalus gazella) and the effects on diving behavior	MARINE MAMMAL SCIENCE												This study investigated how female Antarctic fur seals adapt their foraging behavior, over time scales of days, to spatial unpredictability in the distribution of their food. Lactating Antarctic fur seals are central-place foragers that feed on highly patchy but spatially and temporally dynamic food. We measured the foraging distribution of 28 fur seals to test whether variation in foraging trip durations was reflected in variation in the location of foraging and the diving behavior of seals at sea. Based on the maximum distance travelled from the breeding beach, three categories of foraging trips were defined: those to the continental shelf area (n = 12, median = 71 km), to oceanic water (n = 11, median = 164 km), and to farther offshore oceanic waters (n = 5, median = 260 km). Trip duration and mean surface speed were positively correlated with the maximum distance travelled from the breeding beach. Seals on longer trips spent proportionally less of their time submerged, but there was no significant difference in the total number of dives or the total time spent foraging by seals in relation to trip duration. Evidence from this study and previous work investigating energy gain suggests that an animal on a longer foraging trip could potentially have a higher mean energy return per dive than a similar animal on a shorter foraging trip. Evidence presented suggests that the type of foraging trip (near or far) is not predetermined by the animal but may be a simple response to the stochastic distribution of the resources available.				Staniland, Iain/I-4725-2012	Staniland, Iain/0000-0003-2736-9134												0824-0469					APR	2003	19	2					331	343		10.1111/j.1748-7692.2003.tb01112.x							WOS:000181582200006						
J	Bates, ML; Hawker, DW; Cropp, R				Bates, Michael L.; Hawker, Darryl W.; Cropp, Roger			Spatio-temporal variations in hexachlorobenzene partitioning in a near shore Antarctic marine environment from a one-dimensional coupled ecosystem-chemical distribution model	JOURNAL OF MARINE SYSTEMS												Hexachlorobenzene (HCB) is an example of a persistent organic pollutant (POP) that is relatively abundant and widespread in near shore Antarctic marine environments. By definition, POPs may distribute with an ecosystem, bioaccumulating and potentially reaching hazardous levels in some organisms. Modelling approaches may provide insight into this behaviour and complement physical sampling that is difficult in such environments. Here, a dynamic, trophically complex ecosystem (biological) model comprising biological groups from plankton to apex predators is coupled to a mass conserving, fugacity based chemical distribution model with vertical resolution of the seawater compartment. The model accommodates seasonal variations in solar irradiance, sea ice coverage, and boundary layer air temperature. The greatest proportion of the HCB is predicted to be in sediment with comparatively little intra-annual variation. For biota, highest lipid based concentrations are in aerial seabirds, baleen whales and seals but considerable seasonal variation is apparent. The POPcline, the water depth where vertical HCB concentration gradient is greatest, is coupled with the base of the mixed layer throughout the Antarctic year. Seasonal partitioning of POPs in Antarctic environments is shown to be subject to oscillating or "flip-flop" dynamics with significantly different controlling factors in summer and winter. In summer, HCB in the surface waters, where most of the biological activity is occurring, is isolated from the sediments that contain most of the POP mass. During winter however, fractional sea ice cover increases turbulent diffusion and the mixed layer and POPcline deepen increasing homogenisation in water column. Surface waters are more likely to come into direct contact with sediments, and biota such as krill migrate to the ocean floor and feed on detritus produced from summer plankton blooms that has since sunk to the ocean floor.				Cropp, Roger/C-1019-2008	Cropp, Roger/0000-0001-9582-857X												0924-7963	1879-1573				AUG	2019	196						65	76		10.1016/j.jmarsys.2019.05.001							WOS:000472689700005						
J	Friedlaender, AS; Goldbogen, JA; Nowacek, DP; Read, AJ; Johnston, D; Gales, N				Friedlaender, A. S.; Goldbogen, J. A.; Nowacek, D. P.; Read, A. J.; Johnston, D.; Gales, N.			Feeding rates and under-ice foraging strategies of the smallest lunge filter feeder, the Antarctic minke whale (Balaenoptera bonaerensis)	JOURNAL OF EXPERIMENTAL BIOLOGY												Body size and feeding mode are two fundamental characteristics that determine foraging performance and ecological niche. As the smallest obligate lunge filter feeders, minke whales represent an ideal system for studying the physical and energetic limits of filter feeding in endotherms. We used multi-sensor suction cup tags to quantify the feeding performance of Antarctic minke whales. Foraging dives around and beneath sea ice contained up to 24 lunges per dive, the highest feeding rates for any lunge-feeding whale. Their small size allows minke whales access to krill in sea-ice environments not easily accessible to larger baleen whales. Furthermore, their ability to filter feed provides an advantage over other smaller sympatric krill predators such as penguins and seals that feed on individual prey. The unique combination of body size, feeding mechanism and sea-ice habitat of Antarctic minke whales defines a previously undocumented energetic niche that is unique among aquatic vertebrates.				Goldbogen, Jeremy A./H-4287-2019; Johnston, David/AAJ-5013-2020; Read, Andrew/AAE-8386-2019	Goldbogen, Jeremy A./0000-0002-4170-7294; Johnston, David/0000-0003-2424-036X												0022-0949	1477-9145				AUG	2014	217	16					2851	2854		10.1242/jeb.106682							WOS:000341190300010	25122916					
J	IKEDA, T; DIXON, P; KIRKWOOD, J				IKEDA, T; DIXON, P; KIRKWOOD, J			LABORATORY OBSERVATIONS OF MOLTING, GROWTH AND MATURATION IN ANTARCTIC KRILL (EUPHAUSIA-SUPERBA DANA)	POLAR BIOLOGY																													0722-4060						1985	4	1					1	8		10.1007/BF00286811							WOS:A1985AGQ4000001						
J	Sirovic, A; Hildebrand, JA				Sirovic, Ana; Hildebrand, John A.			Using passive acoustics to model blue whale habitat off the Western Antarctic Peninsula	DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY												Habitat preferences of calling blue whales were investigated using data from two multidisciplinary oceanographic cruises conducted off the Western Antarctic Peninsula (WAP) during the austral falls of 2001 and 2002. Data were collected on depth, temperature, salinity, chlorophyll a (Chl-a) concentration, krill biomass, zooplankton abundance, and blue whale call presence. In 2001, the study area was sea ice free, high Chl-a concentrations occurred over a small area, krill biomass and zooplankton abundance were high, and few blue whale calls were detected. In 2002 the sea ice covered the southern part of the survey area. Chl-a was high over a large area, krill and zooplankton were low, and there were more blue whale calls. Logistic regression analysis revealed blue whale calls were positively correlated with depth and SST, and negatively correlated with the mean zooplankton abundance from 101 to 300 m and the mean krill biomass in the top 100 m. The negative correlation between blue whale calls and zooplankton could occur if feeding animals do not produce calls. Our survey area did not cover the full range of blue whale habitat off the WAP, as blue whales probably follow the melting and freezing ice edge through this region. Passive acoustics can provide insight to mesoscale habitat use by blue whales in the Southern Ocean where visual sightings are rare, but the ability to localize on the calling animals would greatly improve the ability to model at a finer scale. (C) 2010 Elsevier Ltd. All rights reserved.					Hildebrand, John/0000-0002-5418-9799												0967-0645	1879-0100				JUL-AUG	2011	58	13-16					1719	1728		10.1016/j.dsr2.2010.08.019							WOS:000292438600017						
J	FEDOTOV, AS				FEDOTOV, AS			EUPHAUSIID LARVAE IN THE EASTERN PART OF THE ANTARCTIC CIRCUMPOLAR CURRENT-WEDDELL SEA CONFLUENCE ZONE IN THE AUSTRAL WINTER	OKEANOLOGIYA												According to data of the complex oceanographical survey in the east Atlantic waters of the South Ocean in June 1982, distribution, abundance and age composition of euphausiid larvae have been described in different modifications of the Antarctic waters. Larvae of Euphausia triacantha and E. frigida were caught only in the Antarctic Circumpolar Current (ACC) waters, larvae of E. superba and Thysanoessa macrura encountered both in the ACC and the Weddell Sea waters. Larvae of E. frigida and S. superba were most abundant in gyre structures within the current fields of secondary frontal zone. There were observed a delay in euphausiid spawning season in the ACC waters (E. frigida and E. superba), as well as in the Weddell Sea waters (E. superba). The spawning season of E. superba in the Weddell Sea waters was short, while in the ACC waters it lasted longer. It has been assumed that the oceanic spawning of E. superba which takes place in the eastern part of ACC-Weddell Confluence Zone is important for the reproduction and the recruitment of krill stock in the Atlantic sector of the Antarctic.																	0030-1574					MAR-APR	1992	32	2					285	292									WOS:A1992HT43300014						
J	Ducklow, HW; Erickson, M; Kelly, J; Montes-Hugo, M; Ribic, CA; Smith, RC; Stammerjohn, SE; Karl, DM				Ducklow, Hugh W.; Erickson, Matthew; Kelly, Joann; Montes-Hugo, Martin; Ribic, Christine A.; Smith, Raymond C.; Stammerjohn, Sharon E.; Karl, David M.			Particle export from the upper ocean over the continental shelf of the west Antarctic Peninsula: A long-term record, 1992-2007	DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY												We report on results of a long-term (1993-2007) time series sediment trap moored at 170 m to the west of the Antarctic Peninsula in the mid-continental shelf region (350 m depth; 64 degrees 30'S, 66 degrees 00'W). This is a region characterized by late spring-summer diatom blooms, moderately high seasonal primary productivity (50-150 mmol C m(-2) d(-1) in December-February), and high phytoplankton and krill biomass in the seasonal sea-ice zone. The mass flux ranged from near 0 to over 1 g m(-2) d(-1) and was near 0% to >30% organic carbon (mean 8%). Sedimentation from the upper ocean as estimated by the trap collections at 170m exhibited strong seasonality with high fluxes (1-10 mmol cm(-2) d(-1)) in November-March following ice retreat and very low fluxes (<0.001 mmol C m(-2) d(-1)) during the Austral winter and under sea-ice cover. An average of 85% of the annual export of 212 mmol C m(-2) occurred during the seasonal peak flux episodes. over the trap record, the annual peak flux episode has tended to occur later in the Austral summer, advancing by about 40 days since 1993. The time-integrated sedimentation during the peak flux episode was < 1-50% of the SeaWiFS-estimated primary production (mean 4%) at the trap site over the period 1998-2006. The elemental composition of material captured in the traps had an average C:N:P of 212:25:1, greater than the canonical Redfield values. High C:P ratios (400-600) corresponded with the annual flux peak, indicating preferential loss of P from the sinking particles in the summer, ice-free period. The composition of the exported material more closely approximated the Redfield composition during the low-flux, winter period. (C) 2008 Published by Elsevier Ltd.					Karl, David/0000-0002-6660-6721; STAMMERJOHN, SHARON/0000-0002-1697-8244												0967-0645	1879-0100				SEP	2008	55	18-19					2118	2131		10.1016/j.dsr2.2008.04.028							WOS:000260992700012						
J	Dietrich, KS; Santora, JA; Reiss, CS				Dietrich, Kimberly S.; Santora, Jarrod A.; Reiss, Christian S.			Winter and summer biogeography of macrozooplankton community structure in the northern Antarctic Peninsula ecosystem	PROGRESS IN OCEANOGRAPHY												Climate forcing is impacting polar marine ecosystems through increased variability of winter sea-ice dynamics, which likely influences the distribution, abundance and structure of zooplankton assemblages, and thereby trophodynamics of marine food webs. Due to the challenges of working in polar marine ecosystems, most knowledge on polar zooplankton community structure is derived from summer surveys. Here we examine the spatial distribution, abundance and community structure of macrozooplankton in relation to sea-ice and oceanclimate dynamics within the Antarctic Peninsula marine ecosystem over five consecutive winters. We compare the patterns revealed during winter with historical data collected in the same region during austral summer. Hydrographic and macrozooplankton data were collected from >100 standard stations off the northern Antarctic Peninsula during summer (2003-2011) and winter (2012-2016). Using multivariate methods, the environmental drivers and geographic structuring of the macrozooplankton community during winter and summer were investigated. Eight taxa made up 90% of total macrozooplankton abundance in winter including Metridia species, post-larval and larval Euphausia superba, post-larval Thysanoessa macrura, Limacina helicina, Chaetognatha, Ostracoda and Radiozoa. Eight slightly different taxa including Calanoides acutus, Salpa thompsoni, T. macrura (post-larvae and larvae), Metridia spp., E. superba larvae, Chaetognatha, and Rhincalanus spp. made up 87% of the total abundance in summer. Macrozooplankton clustered into five groups in winter and seven groups in summer. Winter macrozooplankton structure was more spatially consistent among years compared to summer regardless of sea-ice conditions. Salinity, chlorophyll a biomass, upper mixed layer depth and time of day were most strongly correlated with the multivariate ordination in winter whereas salinity, phaeopigment biomass and year had the highest correlations for summer, indicating the importance of similar physical features in both seasons. However, the importance of time scales differed among seasons. Although environmental determinants of summer and winter macrozooplankton community structure indicate that community structure and occurrence were strongly tied to regional variability of salinity and primary productivity gradients, macrozooplankton community structure is likely much more complex than only a few hydrographic variables can explain. Cluster boundaries are likely driven by dynamic locations of currents, fronts and localized eddies in any given season or year.																	0079-6611	1873-4472				AUG	2021	196								102610	10.1016/j.pocean.2021.102610							WOS:000677549200001						
J	KOCK, KH; WILHELMS, S; EVERSON, I; GROGER, J				KOCK, KH; WILHELMS, S; EVERSON, I; GROGER, J			VARIATIONS IN THE DIET COMPOSITION AND FEEDING INTENSITY OF MACKEREL ICEFISH CHAMPSOCEPHALUS-GUNNARI AT SOUTH GEORGIA (ANTARCTIC)	MARINE ECOLOGY PROGRESS SERIES												The diet composition and feeding intensity of mackerel icefish Champsocephalus gunnari around Shag Rocks and the mainland of South Georgia was analyzed from ca 8700 stomachs collected in January/February 1985, January/February 1991 and January 1992. Main prey items were krill Euphausia superba, the amphipod hyperiid Themisto gaudichaudii, mysids (primarily Antarctomysis maxima), and in 1985 also Thysanoessa species. The proportion of krill and T gaudichaudii in the diet varied considerably among the 3 years, whereas the proportion of mysids in the diet remained fairly constant, Krill appears to be the preferred food. In years of krill shortage, such as in 1991, krill was replaced by T gaudichaudii. The occurrence of krill in the diet in 1991 was among the lowest within a 28 yr period of investigation. Variation in food composition among sampling sites was high. This high variation appears to be primarily associated with differences in prey availability, but much less with prey size selectivity. Feeding intensity varied considerably among seasons. It was highest in 1992. The proportion of empty stomachs was uncommonly high and stomach content weight was uncommonly low in January 1991, a period when energy-rich food was needed for the final maturation of gonads. At the same time, an unusually high proportion of sexually mature fish showed no signs of the gonad development necessary for spawning in that season. It was hypothesized that as in some other non-Antarctic fish species the shortage of suitable food may have forced the fish to sacrifice gonad maturation in order to maintain body size.																	0171-8630					MAY	1994	108	1-2					43	57		10.3354/meps108043							WOS:A1994NN70000005						
J	Atkinson, A; Whitehouse, MJ				Atkinson, A; Whitehouse, MJ			Ammonium regeneration by Antarctic mesozooplankton: an allometric approach	MARINE BIOLOGY												Given the importance of copepods in the Southern Ocean food web, there are few assessments of their N budgets or their role in regenerating N. In this study we measured elemental composition and ammonium-excretion rates of copepods and small euphausiids, and estimated the role of metazoans in recycling ammonium in the South Georgia region. Measurements were made during summer on animals ranging over about two orders of magnitude in body mass. A phytoplankton bloom extended throughout the study area, and high C and dry masses of late-stage copepodites suggested good recent feeding conditions. Excretion rates declined roughly exponentially during the similar to1 day incubations in filtered sea water. The patterns observed suggested that the onset of starvation rather than the stress of capture caused this. Allometric relationships between body mass in and excretion rate R were derived using the equation R = am(b). Large compilations of literature data produce a value of b (the body-mass scaling coefficient) of 0.7-0.8. However, in this study, b ranged from 0.57 (for C as the unit of body mass) to 0.71 for N as the unit of body mass. Such low values are also common to previous studies of feeding and excretion among Antarctic copepods. We suggest that this reflects peculiarities of polar environments, namely, lipid storage and diapause in the largest copepods. Previous studies have suggested that ammonium is a preferred N source for algae at South Georgia. Based on the monitoring of a region to the north-east of South Georgia and on zooplankton abundance and excretion rates from this study, we estimate that within the upper mixed layer the copepods and small euphausiids excrete at least one third of the ammonium potentially required by phytoplankton. Krill excretion in this area was measured in a previous study, and it appears that mesozooplankton and krill are together significant regenerators of N in parts of the South Georgia pelagic system.																	0025-3162					AUG	2001	139	2					301	311									WOS:000170744200009						
J	Lv, TF; Ma, W; Xin, G; Wang, R; Xu, J; Liu, DM; Liu, FJ; Pan, DC				Lv, Tengfei; Ma, Wei; Xin, Gang; Wang, Ren; Xu, Jun; Liu, Dongmei; Liu, Fujun; Pan, Decong			Physicochemical characterization and sorption behavior of Mg-Ca-Al (NO3) hydrotalcite-like compounds toward removal of fluoride from protein solutions	JOURNAL OF HAZARDOUS MATERIALS												The present study explores the potential of Mg-Ca-Al (NO3) hydrotalcite-like compounds (MgCaAlNO3-HTlcs) for the removal of fluoride from protein solutions. In this study, the Mg3-xCaxAlNO3-HTlcs (x = 0-3, x is the mol.% of Ca) were synthesized and characterized by SEM, XRD, FTIR, BET, ICP-AES and pHzpc analysis. The sorption experiments were conducted in protein systems of bovine serum albumin (BSA) and lysozyme (LSZ). The batch experiment results showed that the NO3-HTlc with Mg/Ca/Al molar ratio of 2.5/0.5/1 had remarkable fluoride sorption ability with maximum sorption capacities of 82.35 mg/g and 72.69 mg/g at pH 5.0 and 40 degrees C in BSA and LSZ system, respectively. Moreover, the loss of BSA of 0.71% was low and there was no loss of LSZ. It was evident that the Mg2.5Ca0.5AlNO3-HTlc could selectively adsorb fluoride from protein solutions. The equilibrium sorption data fitted well to the Langmuir model and the kinetic data conformed to the pseudo-second-order model. Thermodynamic parameters (Delta G degrees, Delta H degrees and Delta S degrees) were evaluated and revealed that the sorption process was spontaneous and endothermic in nature. Furthermore, the results from Antarctic krill processing wastewater study confirmed the feasibility and practicality of the Mg2.5Ca0.5AlNO3-HTlc for fluoride removal in fluoride bearing protein system. (C) 2012 Elsevier B.V. All rights reserved.																	0304-3894	1873-3336				OCT 30	2012	237						121	132		10.1016/j.jhazmat.2012.08.014							WOS:000310257100014	22959263					
J	Giordano, D; Rinelli, P; Russo, A; Sala, A; Azzali, M; La Spada, G; Giuliano, L; Crisafi, E; De Domenico, E; Yakimov, M				Giordano, Daniela; Rinelli, Paola; Russo, Aniello; Sala, Antonello; Azzali, Massimo; La Spada, Gina; Giuliano, Laura; Crisafi, Ermanno; De Domenico, Elena; Yakimov, Michail			Phylogenetic relationships of the Antarctic euphausiids inhabiting the Ross Sea and the adjacent regions of Southern Ocean	CAHIERS DE BIOLOGIE MARINE												Ross Sea supports a large concentration of Antarctic krill (Euphausia superba Dana, 1850) and Ice krill (Euphausia crystallorophias Holt & Tattersal, 1906) that have a great ecological significance (Azzali & Kalinowski, 1999; Sala et al., 2002). The aim of this study was to further our understanding of the distribution and phylogeny of krill species that were collected in the Ross Sea during the XIX PNRA expedition. Krill from 33 net samples were examined by sequencing parts of two mitochondrial genes; 530 bp of the gene 16S from a total of 20 specimens and 983 bp of NADH from 200 specimens. BIO-ENV analysis showed that the distribution of these species correlated best with water temperature than bottom depth and the ice presence. AMOVA analysis, conducted using the NADH data among geographic populations, revealed no significant differences of nucleotide diversity within the two Euphausia species: E. superba (n = 100, h = 0.97533 +/- 0.0472, p(i) = 0.53433 +/- 0.17212), E. crystallorophias (n = 100, h = 0.81762 +/- 0.07431, p(i) = 0.48578 +/- 0.46825). Most of the variability is associated with individuals and may depend on the high polymorphism of the species. AMOVA analysis between net samples showed no significant differences in all species.				La Spada, Gina/P-5207-2018; Sala, Antonello/B-8517-2016; Russo, Aniello/A-2319-2010; Giuliano, Laura/P-2204-2019; Yakimov, Michail/H-1829-2016; CNR, Ismar/P-1247-2014	Sala, Antonello/0000-0001-7066-1152; Russo, Aniello/0000-0003-3651-8146; Yakimov, Michail/0000-0003-1418-363X; CNR, Ismar/0000-0001-5351-1486												0007-9723						2011	52	1					1	11									WOS:000286501900001						
J	Robison, BH; Vernet, M; Smith, KL				Robison, Bruce H.; Vernet, Maria; Smith, Kenneth L., Jr.			Algal communities attached to free-drifting, Antarctic icebergs	DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY												Disintegration of the Antarctic Peninsula's eastern ice shelves has increased the population of icebergs traversing the Weddell Sea, but until recently little was known about their ecological impact on the pelagic environment. Here we describe a class of algal communities that occur on the submerged flanks of large, free-drifting, glacially-derived tabular icebergs. We used remotely operated vehicles to examine these icebergs directly for the first time, to survey the algal communities and collect material for shipboard laboratory studies. The communities, principally diatoms, were associated with a characteristic cupped configuration of the ice surface, and they served as feeding sites for aggregations of Antarctic krill. Production rate measurements indicate that these communities are providing a substantial contribution to regional primary production in summer. As the number of icebergs grows, the number of algae communities may also be increasing, along with their cumulative contribution to organic carbon flux. (C) 2010 Elsevier Ltd. All rights reserved.																	0967-0645					JUN	2011	58	11-12					1451	1456		10.1016/j.dsr2.2010.11.024							WOS:000291079800016						
J	Kawaguchi, S; Kasamatsu, N; Watanabe, S; Odate, T; Fukuchi, M; Nicol, S				Kawaguchi, S; Kasamatsu, N; Watanabe, S; Odate, T; Fukuchi, M; Nicol, S			Sea ice changes inferred from methanesulphonic acid (MSA) variation in East Antarctic ice cores: are krill responsible?	ANTARCTIC SCIENCE																Kawaguchi, So/N-1795-2017	Kawaguchi, So/0000-0002-2042-5095												0954-1020					JUN	2005	17	2					211	212		10.1017/S0954102005002610							WOS:000230508300007						
J	NORMAN, FI; WARD, SJ				NORMAN, FI; WARD, SJ			FOODS AND ASPECTS OF GROWTH IN THE ANTARCTIC PETREL AND SOUTHERN FULMAR BREEDING AT HOP ISLAND, RAUER-GROUP, EAST ANTARCTICA	EMU												Foods of adult Antarctic Petrels Thalassoica antarctica and Southern Fulmars Fulmarus glacialoides breeding on Hop Island, Rauer Group, East Antarctica, were obtained using water-offloading techniques, from late incubation to late post-guard periods. Both species took mainly krill, particularly Euphausia superba, and fish, almost entirely Pleuragramma antarcticum; other crustaceans and cephalopods were infrequent. The increase of E. crystallorophias, particularly in Southern Fulmars, was associated with increased P. antarcticum in the diet of both species. No significant differences in prey sizes were detected but the smaller Antarctic Petrel tended to contain more fish and less krill. Results are compared with previous studies; all show a restricted number of prey species, and a wide range of prey sizes. Variations in proportions of specific groups may reflect sampling methods, but more likely reflect prey abundance or availability. The importance of ice cover is discussed. Inshore feeding by Southern Fulmars, and differing feeding methods, may allow segregation of foraging: assuming similar rates of digestion, the more digested food in Antarctic Petrels suggests a greater foraging range. This is supported by differences in attendance shifts at nests. Growth rates of chicks deprived a meal were compared with those of chicks given supplementary meals, and controls. Deprivation apparently caused no immediate effects; additional meals tended to increase growth of Antarctic Petrel chicks. Small sample sizes confounded interpretation but suggested that Antarctic Petrels, which typically breed further south than Southern Fulmars, are better adapted to local conditions where sympatric with Southern Fulmars. The slightly larger volumes of oil retrieved with Antarctic Petrel food supports this since oil offers a more efficient method of transporting food to growing chicks. For these two fulmarine petrels, segregation of food requirements may be by foraging differences; where sympatric, segregation of peak demands may also result from separation of laying periods.																	0158-4197					DEC	1992	92		4				207	222		10.1071/MU9920207							WOS:A1992KG65300002						
