"author et al. (YEAR)_CHARACTER","paper title_CHARACTER","study duration_CHOICE","region_CHARACTER"
"Lascara et al. (1999)","seasonal variability in the distribution of antarctic krill, euphausia superba, west of the antarctic peninsula","years","Antarctic Peninsula"
"McClatchie et al. (1991)","seasonal growth and mortality of euphausia superba in admiralty bay, south shetland islands, antarctica","years","Antarctic Peninsula"
"Kohlbach et al. (2019)","varying dependency of antarctic euphausiids on ice algae- and phytoplankton-derived carbon sources during summer","days","Weddell Sea"
"Nordhausen (1994)","winter abundance and distribution of euphausia superba, e.crystallorophias, and thysanoessa macrura in gerlache strait and crystal sound, antarctica","days","Antarctic Peninsula"
"Cleary et al. (2016)","winter distribution and size structure of antarctic krill euphausia superba populations in-shore along the west antarctic peninsula","days","Antarctic Peninsula"
"Auerswald et al. (2009)","Effect of short-term starvation of adult Antarctic krill, Euphausia superba, at the onset of summer","months","Lazarev Sea"
"Brierley et al. (2000)","Effects of sea ice cover on the swarming behaviour of Antarctic krill, Euphausia superba","months","Bellingshausen Sea"
"Brierley et al. (2000)","Effects of sea ice cover on the swarming behaviour of Antarctic krill, Euphausia superba","months","Weddell Sea"
"Brierley et al. (2000)","Effects of sea ice cover on the swarming behaviour of Antarctic krill, Euphausia superba","months","Scotia Sea"
"Saunders et al. (2007)","intra-annual variability in the density of antarctic krill (euphausia superba) at south georgia, 2002-2005: within-year variation provides a new framework for interpreting previous 'annual' estimates of krill density","years","South Georgia"
"Marschall (1988)","The Overwintering Strategy of Antarctic Krill Under the Pack-Ice of the Weddell Sea","months","Weddell Sea"
"Young et al. (2014)","Variability in transport pathways on and around the South Georgia shelf, Southern Ocean: Implications for recruitment and retention","years","South Georgia"
"Fielding et al. (2012)","acoustic determination of the distribution of fish and krill across the scotia sea in spring 2006, summer 2008 and autumn 2009","months","Scotia Sea"
"Fielding et al. (2012)","acoustic determination of the distribution of fish and krill across the scotia sea in spring 2006, summer 2008 and autumn 2009","months","Scotia Sea, South SACCF"
"Fielding et al. (2012)","acoustic determination of the distribution of fish and krill across the scotia sea in spring 2006, summer 2008 and autumn 2009","months","Scotia Sea, North SACCF"
"Fielding et al. (2012)","acoustic determination of the distribution of fish and krill across the scotia sea in spring 2006, summer 2008 and autumn 2009","years","Scotia Sea"
"Wiedenmann et al. (2009)","Connecting recruitment of Antarctic krill and sea-ice","years","Palmer LTER"
"Wiedenmann et al. (2009)","Connecting recruitment of Antarctic krill and sea-ice","years","Scotia Sea"
"Ligowski (2000)","Benthic feeding by krill, Euphausia Superba Dana, in coastal waters off West Antarctica and in Admiralty Bay, South Shetland Islands","years","Admiralty Bay"
"Ligowski (2000)","Benthic feeding by krill, Euphausia Superba Dana, in coastal waters off West Antarctica and in Admiralty Bay, South Shetland Islands","months","Admiralty Bay"
"Ichii et al. (2020)","Body length-dependent diel vertical migration of antarctic krill in relation to food availability and predator avoidance in winter at South Georgia","years","South Georgia"
"Mori et al. (2019)","Modelling dispersal of juvenile krill released from the antarctic ice edge: ecosystem implications of ocean movement","years","Circumpolar"
"Piccolin et al. (2018)","the seasonal metabolic activity cycle of antarctic krill (euphausia superba): evidence for a role of photoperiod in the regulation of endogenous rhythmicity","months","Collection between 65 S, 125 E and 64 S, 119 E but experiments in Hobart lab"
"Fach et al (2008)","biochemically based modeling study of antarctic krill euphausia superba growth and development","years","Model parameterised for 65degS, using Antarctic Peninsula/Scotia Sea max chl a values"
"Nicol et al. (2008)","Changes in the Antarctic sea ice ecosystem: potential effectson krill and baleen whales",NA,NA
"siegel v., bergström b., strömberg j.o., schalk p.h.","distribution, size frequencies and maturity stages of krill, euphausia superba, in relation to sea-ice in the northern weddell sea","months","Weddell Sea"
"pakhomov, ea","salp/krill interactions in the eastern atlantic sector of the southern ocean","months","Lazarev Sea"
"hagen, w; vanvleet, es; kattner, g","seasonal lipid storage as overwintering strategy of antarctic krill","months","Weddell Sea"
"Liu et al. (2019)","Feeding strategies of Euphausia superba in the eastern SouthShetland Islands in austral summer","days","South Shetland Islands"
"Tarling et al. (2016)","Growth and shrinkage in Antarctic krill Euphausia superbais sex-dependent","years","Scotia-Weddell region"
"Zhu et al. (2017)","inferring trophic variation for antarctic krill (euphausia superba) in the antarctic peninsula from the austral fall to early winter using stable isotope analysis","years","Antarctic Peninsula"
"Virtue et al. (2010)","krill growth and condition in western indian ocean sector of the southern ocean 30-80 degrees e in austral summer 2006","months","CCAMLR Division 58.4.2 - Western Indian Ocean"
"Candy and Kawaguchi (2006)","Modelling growth of Antarctic krill. II.Novel approach to describing the growth trajectory","years","South-West Atlantic, Indian Ocean"
"Meyer 2012","the overwintering of antarctic krill, euphausia superba, from an ecophysiological perspective","years","Southern Ocean"
"Meyer 2012","the overwintering of antarctic krill, euphausia superba, from an ecophysiological perspective","years","WAP"
"Meyer 2012","the overwintering of antarctic krill, euphausia superba, from an ecophysiological perspective","years","WAP, Lazarev Sea"
"Auerswald et al. 2015","Physiological response of adult Antarctic krill, Euphausia superba, to long-term starvation","days","Lab experiment"
"Bergstrom et al. (1990)","spring distribution, size composition and behaviour of krill euphausia superba in the western weddell sea","months","north-western Weddell Sea"
"Reis et al. (2015)","winter preconditioning determines feeding ecology of euphausia superba in the antarctic peninsula","months","South Shetland Islands"
"Brierley et al. (2002)","significant intra-annual variability in krill distribution and abundance at south georgia revealed by multiple acoustic surveys during 2000/01","months","South Georgia (Western Core Box)"
"Brierley et al. (2002)","significant intra-annual variability in krill distribution and abundance at south georgia revealed by multiple acoustic surveys during 2000/02","months","South Georgia (Western Core Box)"
"Brierley et al. (2002)","significant intra-annual variability in krill distribution and abundance at south georgia revealed by multiple acoustic surveys during 2000/03","months","South Georgia (Western Core Box)"
"Brierley et al. (2002)","significant intra-annual variability in krill distribution and abundance at south georgia revealed by multiple acoustic surveys during 2000/04","months","South Georgia (Western Core Box)"
"Brierley et al. (2002)","significant intra-annual variability in krill distribution and abundance at south georgia revealed by multiple acoustic surveys during 2000/05","months","South Georgia (Central/North Core Box)"
"Brierley et al. (2002)","significant intra-annual variability in krill distribution and abundance at south georgia revealed by multiple acoustic surveys during 2000/06","months","South Georgia (Eastern Core Box)"
"Brierley et al. (2002)","significant intra-annual variability in krill distribution and abundance at south georgia revealed by multiple acoustic surveys during 2000/07","months","South Georgia (Southern Core Box)"
"Brierley et al. (2002)","significant intra-annual variability in krill distribution and abundance at south georgia revealed by multiple acoustic surveys during 2000/07","months","South Georgia (Western Core Box)"
"Brierley et al. (2002)","significant intra-annual variability in krill distribution and abundance at south georgia revealed by multiple acoustic surveys during 2000/07","months","South Georgia (Central/North Core Box)"
"Brierley et al. (2002)","significant intra-annual variability in krill distribution and abundance at south georgia revealed by multiple acoustic surveys during 2000/07","months","South Georgia (Eastern Core Box)"
"Ashjian et al. (2008)","distribution of larval krill and zooplankton in association with hydrography in marguerite bay, antarctic peninsula, in austral fall and winter 2001 described using the video plankton recorder","months","Marguerite Bay, Antarctic Peninsula"
"Gao et al. 2013","Geographical distribution and age composition of Euphausia superba larvae (Crustacea: Euphausiacea) in the South Shetland Islands region and southern Scotia Sea in relation to environmental conditions","months","WAP"
"Espinasse et al. (2012)","austral fall-winter transition of mesozooplankton assemblages and krill aggregations in an embayment west of the antarctic peninsula","months","Wilhelmina Bay, Gerlache Strait"
