state of progress ,To be reviewed by (insert name):ro,topic,authors,title,journal,abstract,publishingDate,publishingYear,doi,Comment
closed,Pakhomov,development,kittel w.,"euphausiid larvae in the scotia front west of elephant island (biomass iii, october-november 1986)",polish polar research,dominant (occurring in all stations) were larvae of thysanoessa macrura. furcilia vi of euphausia superba were found only twice. the distribution of euphausiid larvae was influenced by the stratification and circulation of water masses. -from author,,1988,,
closed,Pakhomov,development,voronina n.m.,"euphausiid larvae in the southern part of the pacific sector of antarctic in february to march, 1992",oceanology,"the material was collected along a latitudinal transect in the middle of the pacific sector of the antarctic (67°s) and in the area northeast of the balleny islands during woce cruise 6 of r/v akademik ioffe in february and march 1992. four water modifications were studied: low latitude (antarctic circumpolar current), high latitude (coastal antarctic current), mixed, and shelf waters. plankton was collected with 170 μm-mesh juday closing nets at depths to 1500 m or to the bottom. larvae of two euphausiid species were found: euphausia superba and thysanoessa macrura. the former were caught only in the southwestern part of the survey region and were relatively abundant (&gt; 500 m-2) on only two coastal stations. t. macrura larvae were found everywhere but were limited by the 0 to 200-m layer. their mean numbers were 36 ± 13 m-2 and, unlike the previous data, they did not differ in different water modifications; the reasons are discussed. three t. macrura local peaks were located on intersections of the frontal zones and in the vicinity of intense water upwelling. the data of the stations show that postlarval development of t. macrura can be completed during the first period of growth only in part of the survey region. the quantitative distribution of euphausiids is discussed on the basis of the obtained and published data. we do not find evidence for the existence of an independent ecosystem characterized by an abundance of this group and its predominance in the community in the pacific sector of the antarctic to the south of the seasonal northern ice boundary.",,1996,,
closed,Bahlburg,development,"yoshida, t; virtue, p; kawaguchi, s; nichols, pd",factors determining the hatching success of antarctic krill euphausia superba embryo: lipid and fatty acid composition,marine biology,"the present study addresses the effect of maternal diet on hatching success and condition of embryos and larvae of antarctic krill euphausia superba. lipid and fatty acid content and composition were determined in field and laboratory samples. developmental stages analyzed in embryos included: multiple-cell, gastrula, and limb-bud stages. larval stages analyzed included: nauplius i, nauplius ii, and metanauplius. laboratory-reared embryos were spawned by gravid females incubated under three feeding groups: (1) phytoplankton mixture, (2) phytoplankton mixture and minced clam, and (3) phytoplankton mixture, minced clam, and commercial larval food. hatching success was highest in group 3 (100%), lowest in group 1 (0%), and highly variable in field samples (0-48%). lipid decreased slightly in embryos during embryonic development, while large decreases in lipid were found during nauplius development. high levels of 18: 2(n-6), 20: 4(n-6), and 22: 6(n-3) observed with group 3 samples coincided with high hatching success in krill embryos. the ratio of 22: 6(n-3)/20: 5(n-3) also correlated to hatching success of embryos. the fatty acid profile of embryos in group 3 was similar to that of the field-collected embryos, reflecting the contribution of the commercial larval food in the maternal diet. in our study, the maternal diet was found to influence the fatty acid composition of embryos and in turn affects the hatching success of krill. specific polyunsaturated fatty acids appeared to play important roles in embryogenesis in krill.",oct,2011,10.1007/s00227-011-1735-2,
closed,Johnston,development,"meyer, b; atkinson, a; stubing, d; oettl, b; hagen, w; bathmann, uv",feeding and energy budgets of antarctic krill euphausia superba at the onset of winter - i. furcilia iii larvae,limnology and oceanography,"physiological condition and feeding behavior of furcilia larvae were investigated in autumn (april 1999) in the southwestern lazarev sea prior to the critical overwintering period. furcilia stage iii (fiii) larvae were most abundant, so only these were used for all analyses (dry mass [dm], elemental and biochemical composition, gut content) and experiments (metabolic and ingestion rates, selective feeding behavior). chlorophyll a (ch1 a) concentrations in the mixed layer were <0.1 mug l-1. respiration rates of freshly caught fiii larvae were between 0.4 and 1.2 mul o-2 mg(-1) dm h(-1), similar to larvae fed for 7 d on high food concentrations (4 mug ch1 a l-1). excretion rates ranged between 0.01 and 0.02 mug nh4 mg(-1) dm h(-1). their atomic o:n ratio of 72 indicated that lipids were the main metabolic substrate of fiii larvae in the field. the daily c ration ranged from 0.4% at the lowest food concentration of 3 mug c l-1 to 28% at the highest enriched food concentration of 216 mug c l-1, whereas clearance rates decreased with increasing food concentrations. in natural seawater, 115 ml mg(-1) c h(-1), and in natural seawater enriched with ice biota, 24 ml mg(-1) c h(-1), the clearance rates on specific phytoplankton taxa revealed no significant difference across a food size range of 12-220 mum. the study suggests that during periods of low food supply in the water column, larvae have to exploit ice biota to cover their metabolic demands.",jul,2002,10.4319/lo.2002.47.4.0943,
in progress,Johnston,development,"atkinson, a; meyer, b; stubing, d; hagen, w; schmidt, k; bathmann, uv",feeding and energy budgets of antarctic krill euphausia superba at the onset of winter - ii. juveniles and adults,limnology and oceanography,"the overwintering success of euphausia superba is a key factor that dictates population size, but there is uncertainty over how they cope with the scarcity of pelagic food. both nonfeeding strategies (reduced metabolism, lipid use, or shrinkage in size) and switching to other foods (carnivory, ice algae, or detritus) have been suggested. we examined these alternatives in the southwest lazarev sea in autumn (april 1999), when sea ice was forming and phytoplankton was at winter concentrations. both juveniles and adults had a very high lipid content (36% and 44% of dry mass, respectively) of which >40% was phospholipid. however, their low o:n ratios suggested that these reserves were not being used. results from gut contents analysis and large volume incubations agreed that juveniles fed mainly on phytoplankton and adults fed on small (<3 mm) copepods. this dietary difference was supported possibly by elevated concentrations of 20:1 and 22:1 fatty acids in the adults. the feeding methods also confirmed that feeding rates were low compared with those in summer. even when acclimated to high food concentrations, clearance and ingestion rates were <30% of summer rates. respiration and ammonium excretion rates of freshly caught krill were 60%-80% of those in summer and declined significantly during 18 d of starvation. these findings suggest both switch feeding and energy conservation strategies, with a trend of reduced and more carnivorous feeding with ontogeny. this points to a ""compromise"" strategy for postlarvae, but there are alternative explanations. first, the krill may have reduced their feeding in an autumn transition to a nonfeeding mode, and, second, some of the population may have maintained a high feeding effort whereas the remainder was not feeding.",jul,2002,10.4319/lo.2002.47.4.0953,
in progress,Johnston,development,"meyer, b; atkinson, a; blume, b; bathmann, uv",feeding and energy budgets of larval antarctic krill euphausia superba in summer,marine ecology progress series,"the physiological condition and feeding activity of the dominant larval stages of euphausia superba (calyptopis stage iii, furcilia stages i and ii) were investigated from february to march 2000 at the rothera time series monitoring station (67degrees34's, 68degrees07'w, adelaide island, western antarctic peninsula). a dense phytoplankton bloom (5 to 25 mug chl a l(-1)) occupied the mixed layer throughout the study period. the feeding of larvae was measured by incubating the animals in natural seawater. food concentrations ranged from 102 to 518 mug c l(-1) across experiments, and the mean daily c rations were 28% body c for calyptosis stage ill (ciii), 25% for furcilia stage i (fi) and 15% for fii. the phytoplankton, dominated by diatoms and motile prey taxa, ranged from 8 to 79 pm in size. across this size spectrum of diatoms, ciii cleared small cells most efficiently, as did fi to a lesser degree. fii, however, showed no clear tendency for a specific cell size. across the measured size spectrum of the motile taxa, all larvae stages showed a clear preference towards the larger cells. estimated c assimilation efficiencies were high, from 70 to 92% (mean 84%). respiration rates of freshly caught larvae were 0.7 to 1.1 mul o-2 mg dm-1 h(-1). the calculated respiratory c loss showed a significant increase with increasing food concentration in all larval stages, ranging from 0.9 to 2.4% body c d(-1). these respiratory losses, combined with the high assimilation efficiencies, thus give the larvae ample capacity for growth at these food concentrations. critical concentrations of food to achieve maximum daily rations were in the range of 100 to 200 mug c l(-1) (similar to2 to 4 mug chl a l(-1)). thus productive shelf sites along the antarctic peninsula, such as rothera, may act as good 'nursery' areas for krill larvae.",,2003,10.3354/meps257167,
closed,O'Sullivan,development,"schmidt, k; atkinson, a; pond, dw; ireland, lc","feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance",limnology and oceanography,"antarctic krill (euphausia superba) were sampled in contrasting habitats: a seasonally ice-covered deep ocean (lazarev sea), ice-free shelves at their northern range (south georgia) and the antarctic peninsula (bransfield strait), and shelf and oceanic sites in the scotia sea. across 92 stations, representing a year-round average, the food volume in krill stomachs comprised 71 +/- 29% algae, 17 +/- 21% protozoans, and 12 +/- 25% metazoans. fatty acid trophic markers showed that copepods were consistently part of krill diet, not a switch food. in open waters, both diatom and copepod consumption increased with phytoplankton abundance. under sea ice, ingestion of diatoms became rare, whereas feeding on copepods remained constant. during winter, larvae contained high but variable proportions of diatom markers, whereas in postlarvae the role of copepods increased with krill body length. overwintering differed according to habitat. krill from south georgia had lower lipid stores than those from the bransfield strait or lazarev sea. feeding effort was much reduced in lazarev sea krill, whereas most individuals from the bransfield strait and south georgia contained phytoplankton and seabed detritus in their stomachs. their retention of essential body reserves indicates that krill experienced most winter hardship in the lazarev sea, followed by south georgia and then bransfield strait. this was reflected in the delayed development from juveniles to adults in the lazarev sea. circumpolar comparisons of length frequencies suggest that krill growth conditions are more favorable in the southwest atlantic than in the lazarev sea or off east antarctica because of longer phytoplankton bloom periods and rewarding access to benthic food.",jan,2014,10.4319/lo.2014.59.1.0017,
in progress,Johnston,development,"hempel i., hempel g.",field observations on the developmental ascent of larval euphausia superba (crustacea),polar biology,"marr's (1962) hypothesis on the descent of eggs and ascent of early larvae of euphausia superba is examined in the light of investigations prior to and including field investigations in january 1985. two deep stations (4100 m) west of the south orkney islands yielded more than 6600 eggs and early larvae per 100 m3 in the 1000 to 2000 m layer; also below 2000 m eggs and naupliar stages occurred. sinking speed and sinking depth of krill eggs are discussed in the light of laboratory experiments of marschall (1983), quetin and ross (1984), and george and strömberg (1985). hatching depths calculated from the experimental data on sinking rate and incubation time tend to be shallower than the deep occurrence of krill eggs at sea. possibly krill may spawn not only near the surface but also at depths of several hundred meters. the high abundance of naupliar stages in smaples from our deepest layer corrobrate the presumption of marschall and hirche (1984) that the nearly immobile nauplii still sink and that the larvae begin to rise only when they have reached the metanaupliar stage. © 1986 springer-verlag.",,1986,10.1007/bf00258263,
closed,Conroy,development,"walsh, j; reiss, cs; watters, gm",flexibility in antarctic krill euphausia superba decouples diet and recruitment from overwinter sea-ice conditions in the northern antarctic peninsula,marine ecology progress series,"winter sea-ice conditions are considered important for antarctic krill euphausia superba survival and recruitment, yet few broad-scale longitudinal studies have examined the underlying relationships between winter conditions and krill recruitment. we used data from a 4 yr winter study of krill condition (lipid content), diet (stable isotopes and fatty acids), and length distributions around the northern antarctic peninsula to examine relationships among environmental variables (annual sea-ice cover, water column chlorophyll a [chl a], and upper mixed-layer water temperature), the condition and diet of krill, and recruitment success the following year. diet indicators (lipid content, delta n-15, delta c-1(3), and the fatty acid ratios 16:1n-7/18:4n-3 and 18:1n-9/18:1n-7) in post-larvae were consistent among years regardless of sea-ice cover, suggesting that post-larval krill do not rely on sea-ice resources for overwinter survival. diet indicators in larvae were more variable and suggest that larvae may feed on sea-ice resources when they are available but can still persist in the water column when they are not. principal component analysis between environmental variables and diet indicators showed that water-column chl a was the only variable that significantly affected diet, regardless of annual changes in sea-ice cover. extensive winter ice in one year did not translate into successful recruitment the following year. krill demonstrate a high degree of flexibility with respect to overwinter habitat and diet, and the degree to which sea ice is important during different times of year and at different life stages may be more complex than previously thought.",May 28,2020,10.3354/meps13325,
closed,Bernard,development,"ross, rm; quetin, lb; newberger, t; oakes, sa",growth and behavior of larval krill (euphausia superba) under the ice in late winter 2001 west of the antarctic peninsula,deep-sea research part ii-topical studies in oceanography,"in situ growth rates are one measure of the physiological condition of larval antarctic krill in winter. during the southern ocean global ecosystem dynamics (so globec) research cruise in july/august 2001 aboard the arsv laurence m. gould west of adelaide island and marguerite bay, larval krill were observed in the under-ice habitat. ten instantaneous growth rate experiments were conducted with larvae collected from the under-ice habitat on the outer shelf, mid-shelf, and just south of adelaide island in the mouth of marguerite bay. for all experiments, average growth increments for larval krill were about -1.6% per intermolt period, with a median intermolt period of 30.6d. larvae were observed feeding on the ice, even though no color was visible in the ice. pigment (chlorophyll a equivalents) content of larvae from three of the sites was measured as an indicator of ingestion of sea-ice microalgae. pigment values were above those found in starved controls, but only about 20% of maximum possible values. although feeding, the data suggested that the larval krill were unable to ingest enough food to maintain growth. the results from this first so globec winter process cruise were compared to growth rates of larval krill during previous winter cruises that covered all months from late may through september, except for the month of august. (c) 2004 elsevier ltd. all rights reserved.",,2004,10.1016/j.dsr2.2004.07.001,
closed,Bernard,development,"quetin, lb; ross, rm; frazer, tk; amsler, mo; wyatt-evens, c; oakes, sa","growth of larval krill, euphausia superba, in fall and winter west of the antarctic peninsula",marine biology,"a quantitative characterization of growth-related parameters for larval and juvenile antarctic krill, euphausia superba (dana), is essential to understanding the early life history of this key species in the southern ocean ecosystem. to this end, instantaneous growth rate experiments were conducted with larval and juvenile krill to determine growth increments and molting frequency in situ. all experiments were carried out during fall and winter months (april through september) on nine separate cruises west of the antarctic peninsula between 1987 and 1999. a consistent seasonal pattern across years was observed: growth rates decreased during fall (april/may), were minimal in early winter (june), and increased to maximum rates by late winter (september). habitat-specific differences (water column vs under-ice) in growth rates of larvae collected on the same cruise were not observed in early winter (june 1993; within-year comparison). however, in a between-year comparison, larvae from the under-ice habitat (june/july 1987) had significantly higher growth increments than larvae from the open-water habitat (july 1989). the difference between these two comparisons may be a function of the degree of contrast in food availability in the water column and the sea ice at different times in the winter. daylength at the time of collection explained 74% of the variation in larval and juvenile growth rates. this correlation may be an indirect effect of the influence of diel cycles on krill behavior and/or primary production in both the water column and ice.",nov,2003,10.1007/s00227-003-1130-8,
closed,Halfter,development,"wiebe, ph; ashjian, cj; lawson, gl; pinones, a; copley, nj",horizontal and vertical distribution of euphausiid species on the western antarctic peninsula u.s. globec southern ocean study site,deep-sea research part ii-topical studies in oceanography,"the western antarctic peninsula (wap) is a site of high krill abundance and a likely source region for krill populations found to the north and east of the area. the u.s. globec southern ocean program studied factors that contribute to the overwintering success of krill in the region of marguerite bay, wap. a mocness net system was used to sample the vertical distribution and abundance of zooplankton relative to physical features (hydrography and circulation) during four broad-scale survey cruises in the fall and winter of 2001 and 2002. four species were found throughout the study area on all four cruises: euphausia superba, euphausia crystallorophias. euphausia triacantha, and thysanoessa macrura. the species had significantly different horizontal and vertical distributions. both e. superba and t. macrura were broadly distributed throughout the area, but the central 50% of their vertical distributions were distinct with e. superba most abundant in the upper 100 m in the coldest, freshest water (average temperature and salinity: -1.13 degrees c; 33.80) and t. macrura occurring between 100 and 250 m (at 0.01 degrees c; 34.228). e. crystailorophias had a more coastal distribution and was usually found deeper in slightly warmer and saltier water (-0.44 degrees c; 33.9982) than e. superba and either overlapped or was above t. macrura in depth. e. triacantha was much rarer and sporadically distributed in the study area and was found substantially deeper (center of distribution about 300 m) in the warmest saltiest water (1.40 degrees c; 34.65) than the other three euphausiid species. larval distributions for e. superba indicated that at least some proportion of the populations resulted from reproduction and development on the continental shelf, and not solely from offshore reproduction and transport onto the shelf. a neutral particle tracking model was used to gain insight into the relative importance of shelf versus off-shelf origins for the larvae. the results suggest that a combination of offshore and onshore reproduction can account for the observed e. superba larval distributions in the u.s. so globec study site. (c) 2010 elsevier ltd. all rights reserved.",jul-aug,2011,10.1016/j.dsr2.2010.11.015,
closed,Bahlburg,development,"groeneveld, j; johst, k; kawaguchi, s; meyer, b; teschke, m; grimm, v",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,ecological modelling,"the southern ocean ecosystem is characterized by extreme seasonal changes in environmental factors such as day length, sea ice extent and food availability. the key species antarctic krill (euphausia superba) has evolved metabolic and behavioural seasonal rhythms to cope with these seasonal changes. we investigate the switch between a physiological less active and active period for adult krill, a rhythm which seems to be controlled by internal biological clocks. these biological clocks can be synchronized by environmental triggers such as day length and food availability. they have evolved for particular environmental regimes to synchronize predictable seasonal environmental changes with important life cycle functions of the species. in a changing environment the time when krill is metabolically active and the time of peak food availability may not overlap if krill's seasonal activity is solely determined by photoperiod (day length). this is especially true for the atlantic sector of the southern ocean where the spatio-temporal ice cover dynamics are changing substantially with rising average temperatures. we developed an individual-based model for krill to explore the impact of photoperiod and food availability on the growth and demographics of krill. we simulated dynamics of local krill populations (with no movement of krill assumed) along a south-north gradient for different triggers of metabolic activity and different levels of food availability below the ice. we also observed the fate of larval krill which cannot switch to low metabolism and therefore are likely to overwinter under ice. krill could only occupy the southern end of the gradient, where algae bloom only lasts for a short time, when alternative food supply under the ice was high and metabolic activity was triggered by photoperiod. the northern distribution was limited by lack of overwintering habitat for krill larvae due to short duration of sea ice cover even for high food content under the ice. the variability of the krill's length-frequency distributions varied for different triggers of metabolic activity, but did not depend on the sea ice extent. our findings suggest a southward shift of krill populations due to reduction in the spatial sea ice extent, which is consistent with field observations. overall, our results highlight the importance of the explicit consideration of spatio-temporal sea ice dynamics especially for larval krill together with temporal synchronization through internal clocks, triggered by environmental factors (photoperiod and food) in adult krill for the population modelling of krill. (c) 2015 elsevier b.v. all rights reserved.",May 10,2015,10.1016/j.ecolmodel.2015.02.009,
closed,O'Sullivan,development,"kohlbach, d; lange, ba; schaafsma, fl; david, c; vortkamp, m; graeve, m; van franeker, ja; krumpen, t; flores, h",ice algae-produced carbon is critical for overwintering of antarctic krill euphausia superba,frontiers in marine science,"antarctic krill euphausia superba (""krill"") constitute a fundamental food source for antarctic seabirds and mammals, and a globally important fisheries resource. the future resilience of krill to climate change depends critically on the winter survival of young krill. to survive periods of extremely low production by pelagic algae during winter, krill are assumed to rely partly on carbon produced by ice algae. the true dependency on ice algae-produced carbon, however, is so far unquantified. this confounds predictions on the future resilience of krill stocks to sea ice decline. fatty acid (fa) analysis, bulk stable isotope analysis (bsia), and compound-specific stable isotope analysis (csia) of diatom- and dinoflagellate-associated marker fas were applied to quantify the dependency of overwintering larval, juvenile, and adult krill on ice algae-produced carbon (alpha(ice)) during winter 2013 in the weddell-scotia confluence zone. our results demonstrate that the majority of the carbon uptake of the overwintering larval and juvenile krill originated from ice algae (up to 88% of the carbon budget), and that the dependency on ice algal carbon decreased with ontogeny, reaching 56% of the carbon budget in adults. spatio-temporal variability in the utilization of ice algal carbon was more pronounced in larvae and juvenile krill than in adults. differences between uice estimates derived from short- vs. long-term fa-specific isotopic compositions suggested that ice algae-produced carbon gained importance as the winter progressed, and might become critical at the late winter-spring transition, before the phytoplankton bloom commences. where the sea ice season shortens, reduced availability of ice algae might possibly not be compensated by surplus phytoplankton production during wintertime. hence, sea ice decline could seriously endanger the winter survival of recruits, and subsequently overall biomass of krill.",,2017,10.3389/fmars.2017.00310,
closed,Halfter,development,"flores, h; atkinson, a; kawaguchi, s; krafft, ba; milinevsky, g; nicol, s; reiss, c; tarling, ga; werner, r; rebolledo, eb; cirelli, v; cuzin-roudy, j; fielding, s; groeneveld, jj; haraldsson, m; lombana, a; marschoff, e; meyer, b; pakhomov, ea; rombola, e; schmidt, k; siegel, v; teschke, m; tonkes, h; toullec, jy; trathan, pn; tremblay, n; van de putte, ap; van franeker, ja; werner, t",impact of climate change on antarctic krill,marine ecology progress series,"antarctic krill euphausia superba (hereafter 'krill') occur in regions undergoing rapid environmental change, particularly loss of winter sea ice. during recent years, harvesting of krill has in creased, possibly enhancing stress on krill and antarctic ecosystems. here we review the overall impact of climate change on krill and antarctic ecosystems, discuss implications for an ecosystem-based fisheries management approach and identify critical knowledge gaps. sea ice decline, ocean warming and other environmental stressors act in concert to modify the abundance, distribution and life cycle of krill. although some of these changes can have positive effects on krill, their cumulative impact is most likely negative. recruitment, driven largely by the winter survival of larval krill, is probably the population parameter most susceptible to climate change. predicting changes to krill populations is urgent, because they will seriously impact antarctic ecosystems. such predictions, however, are complicated by an intense inter-annual variability in recruitment success and krill abundance. to improve the responsiveness of the ecosystem-based management approach adopted by the commission for the conservation of antarctic marine living resources (ccamlr), critical knowledge gaps need to be filled. in addition to a better understanding of the factors influencing recruitment, management will require a better understanding of the resilience and the genetic plasticity of krill life stages, and a quantitative understanding of under-ice and benthic habitat use. current precautionary management measures of ccamlr should be maintained until a better understanding of these processes has been achieved. [graphics] .",,2012,10.3354/meps09831,"review - no relevant numbers, but good background info"
closed,Bahlburg,development,"lehette, p; tovar-sanchez, a; duarte, cm; hernandez-leon, s",krill excretion and its effect on primary production,marine ecology progress series,"during the austral summer, zooplankton excretion along the western antarctic peninsula was studied in a contrasting hydrographic regime including coastal and oceanic waters. in coastal waters, ammonium supply by mesozooplankton indicated a low contribution to fuel primary production. in oceanic waters, however, antarctic krill euphausia superba contributed a significant percentage to the nitrogen requirements of primary producers. thus, the ontogenetic migration of adult krill during austral summer should be a key factor regulating the regenerated ammonium for primary production. a significant coupling of ammonium concentration in the water column and in situ krill biomass supported the significant role of krill excretion in the epipelagic realm. results from short-term experiments with e. superba indicated that ammonium excretion rates were much higher than previously found. because the use of experimental metabolic rates that are close to field rates would be more appropriate, we suggest to re-assess the ammonium supplied by the epipelagic marine biota. moreover, the outcomes of experimental krill excretion rates, in situ measurements of ammonium and a review of data on primary production suggest that antarctic krill sustain a high proportion of the daily phytoplankton production.",,2012,10.3354/meps09746,
closed,Bahlburg,development,"wickham, sa; berninger, ug","krill larvae, copepods and the microbial food web: interactions during the antarctic fall",aquatic microbial ecology,"experiments were run in the antarctic bellinghausen sea during the austral fall to ascertain the interactive effects of krill larvae (furcilia) and copepods on the microbial food web. a cross-classified design with addition of the small cyclopoid copepod oithona similis and either the furcilia larvae of euphausia superba or the calanoid copepod metridia gerlachei to the natural planktonic community was used, as well as a single experiment with varying densities of o. similis. the experiments showed furcilia to have much higher grazing rates on copepods and ciliates than on algae, with positive selection for ciliates that was not influenced by the presence or absence of o. similis. m gerlachei had a grazing impact on ciliates that was much less than that of furcilia larvae, but due to a high taxonomic resolution of the ciliate community it could be shown that there were groups of grazing-vulnerable and -resistant forms. contrary to expectations, o. similis had very low grazing rates on both ciliates and algae, but here too grazing-vulnerable and -resistant groups of ciliates could be distinguished. neither the very strong impact of furcilia on ciliates, copepods and algae nor the more moderate impact of m gerlachei cascaded down to heterotrophic and phototrophic nanoplankton or to bacteria. at least at the time of our experiments, ciliates were tightly bound to the 'classic' aquatic food web, but do not serve to transmit atrophic cascade from the classic and microbial food webs.",Jan 19,2007,10.3354/ame046001,
in progress,Liszka,development,"nicol, s","krill, currents, and sea ice: euphausia superba and its changing environment",bioscience,"investigations of antarctic krill (euphausia superba) over the last 40 years have examined almost every aspect of the biology of these ecologically important animals. various elements of krill biology have been brought together to provide concepts of how, this species interacts with its environment, but there have been few recent attempts to generate a generalized conceptual model of its life history in this article i present such a model, based art previous descriptions, observations, and recent data from the scientific literature. this model takes into account a range of findings on krill biology and on the relationships between antarctic krill and its biotic and abiotic environment. krill life history is thus viewed as all evolved product of interactions between the species and its environment. the model places particular emphasis oil the different forces that act on the larval and adult stages, and on the interaction between krill behavior, systems of ocean currents, and sea ice.",feb,2006,10.1641/0006-3568(2006)056[0111:kcasie]2.0.co;2,
closed,Bahl,development,"makarov r.r., menshenina l.l.",larvae of euphausiids off queen maud land,polar biology,"in a march 1981 study of the lazare sea, a sector of the southern ocean along queen maud land, euphausia superba and thysanoessa macrura larvae were abundant in the north and northwest part of the region near the frontal zone between the weddell warm countercurrent (wwc) and weddell gyre, 5°w-15°e. toward the south, e. superba and e. crystallorophias larvae were numerous in the frontal zone between the wwc and the antarctic coastal current. only t. macrura larvae occurred in the central part of the sea. the age composition of larvae was most advanced in t. macrura, probably due to the drift of larvae from the northwest. because the ice cover diminishes later in the flow from the weddell gyre (northernmost area of the region) than in the south, e. superba larvae were younger in that oceanic subregion than near the shore. t. macrura larvae were sparse near the coast and an onshore-offshore age difference was not pronounced. both frontal zones correspond to reproductive areas of e. superba and t. macrura. e. crystallorophias spawns only in the southern area. © 1992 springer-verlag.",,1992,10.1007/bf00237944,
closed,Bahl,development,"witek z., kittel w.","larvae of the species of the genus euphausia ( euphausiacea, crustacea) in the southern part of drake passage and the bransfield strait during the biomass-sibex (december 1983-january 1984).",polish polar research,"in plankton samples, collected in 3 water layers downwards to a depth of 500 m, larvae and eggs of euphausia superba were found as well as the larvae of e. crystallorophias and e. frigida. eggs of the species e. superba predominated and among the larvae most numerous were calyptopis i and metanauplius stages. eggs and larvae of e. superba occurred in small quantities, mainly in bransfield strait. larvae of e. crystallorophias were found in the southeastern part of bransfield strait. metanauplius, calyptopis i and ii stages were predominant. larvae of e. frigida, mostly calyptopis i stage, were very scarce and occurred only at the stations located in drake passage. -authors",,1985,,
closed,Bahl,development,"maas, a; waloszek, d","larval development of euphausia superba dana, 1852 and a phylogenetic analysis of the euphausiacea",hydrobiologia,"literature data and new investigations by sem of selected ontogenetic stages of the antarctic krill, euphausia superba dana, 1852 revealed morphological characters that are either missing in, or significantly changed towards, the adult. besides adult features, such ontogenetic characters enabled us to propose a hypothesis of the phylogenetic relationships of and within the euphausiacea on the basis of a computer aided cladistic analysis. these are of the form (bentheuphausia amblyops + euphausiidae = (' thysanopoda' + nematobrachion + euphausiinae = (meganyctiphanes norvegica + euphausiini, new name + nematoscelini, new name = ( nyctiphanes + nematoscelina, new name)))). from this analysis the taxon names 'euphausiina', 'nematoscelini', and 'nematoscelina' are introduced for in-groups of the taxon euphausiacea as representing monophyletic units. the position of a set of ontogenetic characters remains relatively uncertain due to the still unknown larval development of bentheuphausia amblyops (g. o. sars, 1883).",apr,2001,10.1023/a:1017549321961,
closed,Conroy,development,"conroy, ja; reiss, cs; gleiber, mr; steinberg, dk",linking antarctic krill larval supply and recruitment along the antarctic peninsula,integrative and comparative biology,"antarctic krill (euphausia superba) larval production and overwinter survival drive recruitment variability, which in turn determines abundance trends. the antarctic peninsula has been described as a recruitment hot spot and as a potentially important source region for larval and juvenile krill dispersal. however, there has been no analysis to spatially resolve regional-scale krill population dynamics across life stages. we assessed spatiotemporal patterns in krill demography using two decades of austral summer data collected along the north and west antarctic peninsula since 1993. we identified persistent spatial segregation in the summer distribution of euphausiid larvae (e. superba plus other species), which were concentrated in oceanic waters along the continental slope, and e. superba recruits, which were concentrated in shelf and coastal waters. mature females of e. superba were more abundant over the continental shelf than the slope or coast. euphausiid larval abundance was relatively localized and weakly correlated between the north and west antarctic peninsula, while e. superba recruitment was generally synchronized throughout the entire region. euphausiid larval abundance along the west antarctic peninsula slope explained e. superba recruitment in shelf and coastal waters the next year. given the localized nature of krill productivity, it is critical to evaluate the connectivity between upstream and downstream areas of the antarctic peninsula and beyond. krill fishery catch distributions and population projections in the context of a changing climate should account for ontogenetic habitat partitioning, regional population connectivity, and highly variable recruitment.",dec,2020,10.1093/icb/icaa111,
closed,Liszka,development,"hagen, w; kattner, g; terbruggen, a; van vleet, es",lipid metabolism of the antarctic krill euphausia superba and its ecological implications,marine biology,"various developmental stages (early larvae to adults) of euphausia superba have been collected in different seasons in the weddell sea, the lazarev sea and off the antarctic peninsula to investigate the role of lipids and fatty acids in the life cycle of the antarctic krill. the total-lipid data for e. superba exhibited seasonal variations, with low lipid levels in late winter/early spring and the highest levels in autumn. seasonal changes were most pronounced in the immature and adult specimens. increasing from about 10% lipid of dry mass to more than 40%. the fatty-acid compositions of the younger stages were dominated by 20:5(n-3), 22:6(n-3) and 16:0. these are typical phospholipid fatty acids, which are major biomembrane constituents. the phospholipid composition was similar in the older stages. with increasing storage of triacylglycerols in the lipid-rich immature and adult stages, the fatty acids 14:0, 16:0 and 18:1(n-9) prevailed, comprising about 70% of total triacylglycerol fatty acids. the trophic-marker fatty acids 16:1(n-7) and 18:4(n-3), indicating phytoplankton ingestion, were less abundant. they reflected, however, the dependence of the larvae on phytoplankton as well as the seasonal changes in algal composition. the generally close linear relationships between fatty acids and lipid suggest that the fatty-acid compositions of the collected specimens were largely independent of the respective developmental stage, season and region. the linear fit indicates that triacylglycerol accumulation started at a level of about 5% of total lipid. considering the various overwintering scenarios under discussion, the life cycle and reproductive strategies of krill are discussed in the context of the lipid metabolism and fatty-acid composition of e. superba. lipid production is effective enough to accumulate large energy reserves for the dark season, but e. superba does not exhibit the sophisticated biosynthetic pathways known from other antarctic euphausiids and copepods. although important, lipid utilisation appears to be just one of several strategies of e. superba to thrive under the extreme antarctic conditions, and this pronounced versatility may explain the success of this species in the southern ocean.",jul,2001,10.1007/s002270000527,
