author et al. (YEAR)_CHARACTER,paper title_CHARACTER,type of study_CHOICE,study duration_CHOICE,time point_CHOICE,year(s)_STARTYEAR_DASH_ENDYEAR,region_CHARACTER,individual parameter name_CHARACTER,parameter value origin_CHARACTER,parameter unit_CHARACTER,sample size_NUMERIC,life-stage_CHOICE,parameter value_NUMERIC,significance_CHOICE,R_squared_NUMERIC,StandardDeviation_NUMERIC,"applicable to other sub-mechanisms (egg & larval development, build-up of body reserves, overwintering)",comments_CHARACTER,AB_applicable mechanism,"AB_information category (corr, parameter)",DB_applicable mechanism,"DB_information category (corr, parameter)",
Bernard et al. (2018),The contribution of ice algae to the winter energy budget of juvenile Antarctic krill in years with contrasting sea ice conditions,observation,years,winter,2015-2016,Antarctic Peninsula; South Shetland Islands; Elephant Island; Bransfield Strait,"constant - dry weight (DW, mg) from total length (TL, mm)",exponential regression,,,juvenile,3.12,,0.94,,,From Supplemental Materials,,,-,-,
Bernard et al. (2018),The contribution of ice algae to the winter energy budget of juvenile Antarctic krill in years with contrasting sea ice conditions,observation,years,winter,2015-2016,Antarctic Peninsula; South Shetland Islands; Elephant Island; Bransfield Strait,"slope - body carbon (BC, mg) from dry weight (DW, mg)",linear regression,,,juvenile,0.51,,0.99,,,From Supplemental Materials,,,-,-,
Bernard et al. (2018),The contribution of ice algae to the winter energy budget of juvenile Antarctic krill in years with contrasting sea ice conditions,observation,years,winter,2015-2016,Antarctic Peninsula; South Shetland Islands; Elephant Island; Bransfield Strait,"intercept - body carbon (BC, mg) from dry weight (DW, mg)",linear regression,,,juvenile,-3.1,,0.99,,,From Supplemental Materials,,,-,-,
Bernard et al. (2018),The contribution of ice algae to the winter energy budget of juvenile Antarctic krill in years with contrasting sea ice conditions,observation,years,winter,2015-2016,Antarctic Peninsula; South Shetland Islands; Elephant Island; Bransfield Strait,mean respiration rate,measurement,µL O2 ind-1 hour-1,38,juvenile,30.7,,,15.6,,From Supplemental Materials; From 11 experiments at temps ranging from -0.6 to 0˚C. Average TL of krill 41mm (SD=7). Average DW of krill 134 mg (SD=77.6),,,-,-,
Bernard et al. (2018),The contribution of ice algae to the winter energy budget of juvenile Antarctic krill in years with contrasting sea ice conditions,observation,years,winter,2015-2016,Antarctic Peninsula; South Shetland Islands; Elephant Island; Bransfield Strait,mean dry weight-standardized respiration rate,measurement,µL O2 (mg DW)-1 hour-1,38,juvenile,0.25,,,0.09,,From Supplemental Materials; From 11 experiments at temps ranging from -0.6 to 0˚C. Average TL of krill 41mm (SD=7). Average DW of krill 134 mg (SD=77.6),,,-,-,
Bernard et al. (2018),The contribution of ice algae to the winter energy budget of juvenile Antarctic krill in years with contrasting sea ice conditions,observation,years,winter,2015-2016,Antarctic Peninsula; South Shetland Islands; Elephant Island; Bransfield Strait,gut evacuation rate (k),measurement,hour-1,,,0.2,,,,,For AC2+ krill,,,-,-,
Bernard et al. (2018),The contribution of ice algae to the winter energy budget of juvenile Antarctic krill in years with contrasting sea ice conditions,observation,years,winter,2015-2016,Antarctic Peninsula; South Shetland Islands; Elephant Island; Bransfield Strait,gut evacuation rate (k),measurement,hour-1,,juvenile,0.5,,,,,For AC1 krill,,,-,-,
Bernard et al. (2018),The contribution of ice algae to the winter energy budget of juvenile Antarctic krill in years with contrasting sea ice conditions,observation,years,winter,2015-2016,Antarctic Peninsula; South Shetland Islands; Elephant Island; Bransfield Strait,daily ingestion rates,measurement,µg (Chl) mg DW-1 day-1,,,<0.001-0.08,,,,,For AC2+ krill,,,-,-,
Bernard et al. (2018),The contribution of ice algae to the winter energy budget of juvenile Antarctic krill in years with contrasting sea ice conditions,observation,years,winter,2015-2016,Antarctic Peninsula; South Shetland Islands; Elephant Island; Bransfield Strait,daily ingestion rates,measurement,µg (Chl) mg DW-1 day-1,,juvenile,<0.001-0.62,,,,,For AC1 krill,,,-,-,
Bernard et al. (2018),The contribution of ice algae to the winter energy budget of juvenile Antarctic krill in years with contrasting sea ice conditions,observation,years,winter,2015-2016,Antarctic Peninsula; South Shetland Islands; Elephant Island; Bransfield Strait,daily rations,measurement,% DW,,juvenile,0.002-7.6,,,,,For AC1 krill,,,-,-,
Bernard et al. (2018),The contribution of ice algae to the winter energy budget of juvenile Antarctic krill in years with contrasting sea ice conditions,observation,years,winter,2015-2016,Antarctic Peninsula; South Shetland Islands; Elephant Island; Bransfield Strait,daily rations,measurement,% DW,,juvenile,<0.001-0.8,,,,,For AC2+ krill,,,-,-,
Ross & Quetin (1985),"The effect of pressure on the sinking rates of the embryos of Antarctic krill, Euphausia superba",observation,days,summer,1983,"Charlotte Bay and Bransfield Strait, Antarctic Peninsula",expected depth of embryos after 0 hours from release,calculation based on sinking rates,m,,egg,50,,,,,"The paper doesn't provide any tables with actual sinking rates for all stages, only Table 2 which gives calculated expected depths after X hours based on their experimentally determined but unreported sinking rates.",,,ID49,"parameter, validation",
Ross & Quetin (1985),"The effect of pressure on the sinking rates of the embryos of Antarctic krill, Euphausia superba",observation,days,summer,1983,"Charlotte Bay and Bransfield Strait, Antarctic Peninsula",expected depth of embryos after 12 hours from release,calculation based on sinking rates,m,,egg,150,,,,,"The paper doesn't provide any tables with actual sinking rates for all stages, only Table 2 which gives calculated expected depths after X hours based on their experimentally determined but unreported sinking rates.",,,ID49,"parameter, validation",
Ross & Quetin (1985),"The effect of pressure on the sinking rates of the embryos of Antarctic krill, Euphausia superba",observation,days,summer,1983,"Charlotte Bay and Bransfield Strait, Antarctic Peninsula",expected depth of embryos after 24 hours from release,calculation based on sinking rates,m,,egg,222-245,,,,,"The paper doesn't provide any tables with actual sinking rates for all stages, only Table 2 which gives calculated expected depths after X hours based on their experimentally determined but unreported sinking rates.",,,ID49,"parameter, validation",
Ross & Quetin (1985),"The effect of pressure on the sinking rates of the embryos of Antarctic krill, Euphausia superba",observation,days,summer,1983,"Charlotte Bay and Bransfield Strait, Antarctic Peninsula",expected depth of embryos after 36 hours from release,calculation based on sinking rates,m,,egg,272-339,,,,,"The paper doesn't provide any tables with actual sinking rates for all stages, only Table 2 which gives calculated expected depths after X hours based on their experimentally determined but unreported sinking rates.",,,ID49,"parameter, validation",
Ross & Quetin (1985),"The effect of pressure on the sinking rates of the embryos of Antarctic krill, Euphausia superba",observation,days,summer,1983,"Charlotte Bay and Bransfield Strait, Antarctic Peninsula",expected depth of embryos after 48 hours from release,calculation based on sinking rates,m,,egg,311-418,,,,,"The paper doesn't provide any tables with actual sinking rates for all stages, only Table 2 which gives calculated expected depths after X hours based on their experimentally determined but unreported sinking rates.",,,ID49,"parameter, validation",
Ross & Quetin (1985),"The effect of pressure on the sinking rates of the embryos of Antarctic krill, Euphausia superba",observation,days,summer,1983,"Charlotte Bay and Bransfield Strait, Antarctic Peninsula",expected depth of embryos after 60 hours from release,calculation based on sinking rates,m,,egg,348-496,,,,,"The paper doesn't provide any tables with actual sinking rates for all stages, only Table 2 which gives calculated expected depths after X hours based on their experimentally determined but unreported sinking rates.",,,ID49,"parameter, validation",
Ross & Quetin (1985),"The effect of pressure on the sinking rates of the embryos of Antarctic krill, Euphausia superba",observation,days,summer,1983,"Charlotte Bay and Bransfield Strait, Antarctic Peninsula",expected depth of embryos after 72 hours from release,calculation based on sinking rates,m,,egg,380-560,,,,,"The paper doesn't provide any tables with actual sinking rates for all stages, only Table 2 which gives calculated expected depths after X hours based on their experimentally determined but unreported sinking rates.",,,ID49,"parameter, validation",
Ross & Quetin (1985),"The effect of pressure on the sinking rates of the embryos of Antarctic krill, Euphausia superba",observation,days,summer,1983,"Charlotte Bay and Bransfield Strait, Antarctic Peninsula",expected depth of embryos after 84 hours from release,calculation based on sinking rates,m,,egg,412-652,,,,,"The paper doesn't provide any tables with actual sinking rates for all stages, only Table 2 which gives calculated expected depths after X hours based on their experimentally determined but unreported sinking rates.",,,ID49,"parameter, validation",
Ross & Quetin (1985),"The effect of pressure on the sinking rates of the embryos of Antarctic krill, Euphausia superba",observation,days,summer,1983,"Charlotte Bay and Bransfield Strait, Antarctic Peninsula",expected depth of embryos after 96 hours from release,calculation based on sinking rates,m,,egg,462-745,,,,,"The paper doesn't provide any tables with actual sinking rates for all stages, only Table 2 which gives calculated expected depths after X hours based on their experimentally determined but unreported sinking rates.",,,ID49,"parameter, validation",
Ross & Quetin (1985),"The effect of pressure on the sinking rates of the embryos of Antarctic krill, Euphausia superba",observation,days,summer,1983,"Charlotte Bay and Bransfield Strait, Antarctic Peninsula",expected depth of embryos after 108 hours from release,calculation based on sinking rates,m,,egg,508-836,,,,,"The paper doesn't provide any tables with actual sinking rates for all stages, only Table 2 which gives calculated expected depths after X hours based on their experimentally determined but unreported sinking rates. Note that no actual sinking rates were recorded for this time point, so the authors used a majority sinking rate of 182 m day-1 and a low sinking rate of 89.25 m day-1.",,,ID49,"parameter, validation",
Ross & Quetin (1985),"The effect of pressure on the sinking rates of the embryos of Antarctic krill, Euphausia superba",observation,days,summer,1983,"Charlotte Bay and Bransfield Strait, Antarctic Peninsula",expected depth of embryos after 120 hours from release,calculation based on sinking rates,m,,egg,554-926,,,,,"The paper doesn't provide any tables with actual sinking rates for all stages, only Table 2 which gives calculated expected depths after X hours based on their experimentally determined but unreported sinking rates.",,,ID49,"parameter, validation",
Ross & Quetin (1985),"The effect of pressure on the sinking rates of the embryos of Antarctic krill, Euphausia superba",observation,days,summer,1983,"Charlotte Bay and Bransfield Strait, Antarctic Peninsula",expected depth of embryos after 132 hours from release,calculation based on sinking rates,m,,egg,612-1013,,,,,"This was also the hatch depth. The paper doesn't provide any tables with actual sinking rates for all stages, only Table 2 which gives calculated expected depths after X hours based on their experimentally determined but unreported sinking rates.",,,ID49,"parameter, validation",
Ross & Quetin (1985),"The effect of pressure on the sinking rates of the embryos of Antarctic krill, Euphausia superba",observation,days,summer,1983,"Charlotte Bay and Bransfield Strait, Antarctic Peninsula",sinking rate of 13-24h old embryos,measurement,m day-1,,egg,187.5,,,,,Sinking rate for embryo with mean radius of 0.0313 µm,,,ID49,"parameter, validation",
Steinke et al. (2021),Environmental drivers of the physiological condition of mature female Antarctic krill during the spawning season: Implications for recruitment,hybrid,years,summer,1993-2008,Western Antarctic Peninsula,slope - krill recruitment (SQRT) predicted by mature female condition (µg/mm^3.71) 1 year prior,linear regression,,,adult,0.0015,TRUE,0.3,,,F-statistic = 5.598 on 1 and 13 DF; p-value = 0.0342. Equation obtained from original data as not presented in paper.,,,-,validation,don't know what to relate to
Steinke et al. (2021),Environmental drivers of the physiological condition of mature female Antarctic krill during the spawning season: Implications for recruitment,hybrid,years,summer,1993-2008,Western Antarctic Peninsula,intercept - krill recruitment (SQRT) predicted by mature female condition (µg/mm^3.71) 1 year prior,linear regression,,,adult,0.005,TRUE,0.3,,,F-statistic = 5.598 on 1 and 13 DF; p-value = 0.0342. Equation obtained from original data as not presented in paper.,,,-,validation,
Steinke et al. (2021),Environmental drivers of the physiological condition of mature female Antarctic krill during the spawning season: Implications for recruitment,hybrid,years,summer,1993-2008,Western Antarctic Peninsula,average mature female krill condition,measurement,µg/mm^3.71,,adult,0.6,,,0.04,,Average across all years - 1993-2008,,,,,
Steinke et al. (2021),Environmental drivers of the physiological condition of mature female Antarctic krill during the spawning season: Implications for recruitment,hybrid,years,summer,1993-2008,Western Antarctic Peninsula,average egg batch size for females,measurement,number of eggs,,adult,3890,,,1467,,Average across all years - 1993-2008,,,ID34,"parameter, validation",
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,total lipid,measurement,µg/sample,,adult,62.8-238.3,,,,Build-up of body reserves,,,,ID3,"parameter, validation",
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,saturated fatty acids,measurement,% of total fatty acids,,adult,38.1-77.2,,,,Build-up of body reserves,,,,ID3,"parameter, validation",
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,monounsaturated fatty acids,measurement,% of total fatty acids,,adult,12.6-52.5,,,,Build-up of body reserves,,,,ID3,"parameter, validation",
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,poly unsaturated fatty acids,measurement,% of total fatty acids,,adult,6-32,,,,Build-up of body reserves,,,,ID3,"parameter, validation",
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,dry mass on day sample taken,measurement,mg/sample,1,larvae,0.9,,,,Build-up of body reserves,,,,,validation,
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,dry mass after 5 days of starvation,measurement,mg/sample,1,larvae,0.3,,,,Build-up of body reserves,,,,ID114,"parameter, validation",
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,dry mass digestive gland,measurement,mg/sample,1,juvenile,0.3,,,,Build-up of body reserves,,,,,,
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,stomach total lipid,measurement,mg/sample,1,juvenile,0.004,,,,Build-up of body reserves,,,,,,
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,total lipid digestive gland,measurement,mg/sample,1,juvenile,0.1,,,,Build-up of body reserves,,,,,,
O'Brien et al. (2011),Aspects of krill growth and condition during late winter-early spring off east antarctica (110-130 degrees e),observation,days,spring,2007,East Antarctica,total lipid digestive gland,measurement,% dry mass,1,juvenile,22.7,,,,Build-up of body reserves,,,,,,
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,intermoultPeriod,observation,days,300,larvae,15,NA,NA,1.1,overwintering,,,,ID62,parameter,
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,starvationMortalityMean,observation,%Ind,300,larvae,43,NA,NA,NA,overwintering,mean over duration of experiment (12 days),,,ID100,parameter,
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,CarbonIntake,observation,gC gBodyC-1 d-1,30,larvae,13,NA,NA,NA,overwintering,"authors describe only range of 12-14 (mean used as a value here, food concentration in experiment: 63-86 mugC l-1)",,,ID69,parameter,
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,starvationMortality,observation,%Ind d-1,300,larvae,0.63,NA,NA,0.1,overwintering,mean over duration of experiment (12 days),,,ID100,parameter,
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,oxygenUptakeRate at t0,observation,mulO2 mgDryMass-1 h-1,20,larvae,1.3,NA,NA,NA,overwintering,at t0 (start of experiment),,,ID58,"parameter, validation",
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,oxygenUptakeRate after 6d,observation,mulO2 mgDryMass-1 h-1,20,larvae,0.7,TRUE,NA,NA,overwintering,after 6 days,,,ID58,"parameter, validation",
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,oxygenUptakeRate after 12d,observation,mulO2 mgDryMass-1 h-1,20,larvae,0.7,TRUE,NA,NA,overwintering,after 12 days,,,ID58,"parameter, validation",
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,ammoniumExcretionRate at t0,observation,mugNH4 mgDryMass-1 h-1,20,larvae,0.04,NA,NA,NA,overwintering,at t0 (start of experiment),,,-,-,
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,ammoniumExcretionRate after 6d,observation,mugNH4 mgDryMass-1 h-1,20,larvae,0.02,NA,NA,NA,overwintering,after 6 days,,,-,-,
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,ammoniumExcretionRate after 12d,observation,mugNH4 mgDryMass-1 h-1,20,larvae,0.05,NA,NA,NA,overwintering,after 12 days,,,-,-,
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,nitrogenLossRate at t0,observation,%N d-1,20,larvae,0.9,NA,NA,NA,overwintering,at t0 (start of experiment),,,-,-,
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,nitrogenLossRate after 6d,observation,%N d-1,20,larvae,0.5,TRUE,NA,NA,overwintering,after 6 days,,,-,-,
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,nitrogenLossRate after 12d,observation,%N d-1,20,larvae,1,TRUE,NA,NA,overwintering,after 12 days,,,-,-,
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,decreaseDryMassMean after 6d,observation,%dryMass,12,larvae,18.3,FALSE,NA,NA,overwintering,after 6 days,,,ID100,"parameter, validation",
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,decreaseDryMassMean after 12d,observation,%dryMass,16,larvae,37,TRUE,NA,NA,overwintering,after 12 days,,,ID100,"parameter, validation",
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,lipidConcentration at t0,observation,mgLipids mgDryMass-1,20,larvae,13,NA,NA,NA,overwintering,at t0 (start of experiment),,,"ID66, ID100","parameter, validation",
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,lipidConcentration after 6d,observation,mgLipids mgDryMass-1,5,larvae,5,NA,NA,NA,overwintering,after 6 days,,,"ID66, ID100","parameter, validation",
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,lipidConcentration after 12d,observation,mgLipids mgDryMass-1,5,larvae,1.5,NA,NA,NA,overwintering,after 12 days,,,"ID66, ID100","parameter, validation",
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,proteinConcentration at t0,observation,mgProteins mgDryMass-1,20,larvae,33,NA,NA,NA,overwintering,at t0 (start of experiment),,,"ID66, ID100","parameter, validation",
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,proteinConcentration after 6d,observation,mgProteins mgDryMass-1,5,larvae,30,NA,NA,NA,overwintering,after 6 days,,,"ID66, ID100","parameter, validation",
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,proteinConcentration after 12d,observation,mgProteins mgDryMass-1,5,larvae,26,NA,NA,NA,overwintering,after 12 days,,,"ID66, ID100","parameter, validation",
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,decreaseCarbonMassMean after 6d,observation,%CarbonMass,12,larvae,19.9,FALSE,NA,NA,overwintering,after 6 days,,,"ID66, ID100","parameter, validation",
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,decreaseCarbonMassMean after 12d,observation,%CarbonMass,16,larvae,44.3,TRUE,NA,NA,overwintering,after 12 days,,,"ID66, ID100","parameter, validation",
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,decreaseNitrogenMassMean after 6d,observation,%NitrogenMass,12,larvae,13.4,FALSE,NA,NA,overwintering,after 6 days,,,"ID66, ID100","parameter, validation",
"meyer, b; oettl, b",effects of short-term starvation on composition and metabolism of larval antarctic krill euphausia superba,observation,days,autumn,2005,BellinghausenSea,decreaseNitrogenMassMean after 6d,observation,%NitrogenMass,16,larvae,34,TRUE,NA,NA,overwintering,after 12 days,,,"ID66, ID100","parameter, validation",
"frazer, tk; quetin, lb; ross, ra","energetic demands of larval krill, euphausia superba, in winter",observation,years,winter,1987-1994,AntarcticPeninsula,slopeOxygenConsumptionTemperature,linear regression,NA,16,"larvae, juveniles",0.058,TRUE,0.49,NA,overwintering,temperature range: -2 to 2 deg C,,,"ID58, ID60",parameter,
"frazer, tk; quetin, lb; ross, ra","energetic demands of larval krill, euphausia superba, in winter",observation,years,winter,1987-1994,AntarcticPeninsula,interceptOxygenConsumptionTemperature,linear regression,NA,16,"larvae, juveniles",0.191,TRUE,0.49,NA,overwintering,temperature range: -2 to 2 deg C,,,"ID58, ID60",parameter,
"frazer, tk; quetin, lb; ross, ra","energetic demands of larval krill, euphausia superba, in winter",observation,years,winter,1987-1994,AntarcticPeninsula,oxygenConsumptionRateIceHabitatMean,observation,mulO2 mgWetMass-1 h-1,46,"larvae, juveniles",0.105,TRUE,NA,NA,overwintering,"at ambient winter temperature, predominantly furcilica 4-6",,,ID83,"parameter, validation",
"frazer, tk; quetin, lb; ross, ra","energetic demands of larval krill, euphausia superba, in winter",observation,years,winter,1987-1994,AntarcticPeninsula,oxygenConsumptionRateOpenWaterMean,observation,mulO2 mgWetMass-1 h-1,36,"larvae, juveniles",0.068,TRUE,NA,NA,overwintering,"at ambient winter temperature, predominantly furcilica 4-6",,,ID83,"parameter, validation",
"frazer, tk; quetin, lb; ross, ra","energetic demands of larval krill, euphausia superba, in winter",observation,months,winter,1993,AntarcticPeninsula,oxygenConsumptionRateFed,observation,mulO2 mgWetMass-1 h-1,15,"larvae, juveniles",0.13,TRUE,NA,0.036,overwintering,at -1.5 deg C,,,"ID81, ID80","parameter, validation",
"frazer, tk; quetin, lb; ross, ra","energetic demands of larval krill, euphausia superba, in winter",observation,months,winter,1993,AntarcticPeninsula,oxygenConsumptionRateFed,observation,mulO2 mgWetMass-1 h-1,22,"larvae, juveniles",0.164,TRUE,NA,0.043,overwintering,at 1.5 deg C,,,"ID81, ID80","parameter, validation",
"frazer, tk; quetin, lb; ross, ra","energetic demands of larval krill, euphausia superba, in winter",observation,months,winter,1993,AntarcticPeninsula,oxygenConsumptionRateFed,observation,mulO2 mgWetMass-1 h-1,32,"larvae, juveniles",0.168,TRUE,NA,0.025,overwintering,at 1.5 deg C,,,"ID81, ID80","parameter, validation",
"frazer, tk; quetin, lb; ross, ra","energetic demands of larval krill, euphausia superba, in winter",observation,months,winter,1993,AntarcticPeninsula,oxygenConsumptionRateStarved,observation,mulO2 mgWetMass-1 h-1,8,"larvae, juveniles",0.065,TRUE,NA,0.016,overwintering,at -1.5 deg C,,,"ID81, ID80","parameter, validation",
"frazer, tk; quetin, lb; ross, ra","energetic demands of larval krill, euphausia superba, in winter",observation,months,winter,1993,AntarcticPeninsula,oxygenConsumptionRateStarved,observation,mulO2 mgWetMass-1 h-1,12,"larvae, juveniles",0.083,TRUE,NA,0.016,overwintering,at 1.5 deg C,,,"ID81, ID80","parameter, validation",
"frazer, tk; quetin, lb; ross, ra","energetic demands of larval krill, euphausia superba, in winter",observation,months,winter,1993,AntarcticPeninsula,carbonMetabolismFed,conversion,gC gBodyC-1 d-1,NA,larvae,1.34,NA,NA,NA,overwintering,"10mg larva, lipid based metabolism",,,"ID81, ID80","parameter, validation",
"frazer, tk; quetin, lb; ross, ra","energetic demands of larval krill, euphausia superba, in winter",observation,months,winter,1993,AntarcticPeninsula,carbonMetabolismStarved,conversion,gC gBodyC-1 d-1,NA,larvae,0.67,NA,NA,NA,overwintering,"10mg larva, lipid based metabolism",,,"ID81, ID80","parameter, validation",
"frazer, tk; quetin, lb; ross, ra","energetic demands of larval krill, euphausia superba, in winter",observation,months,winter,1993,AntarcticPeninsula,carbonMetabolismFed,conversion,gC gBodyC-1 d-1,NA,larvae,1.8,NA,NA,NA,overwintering,"10mg larva, protein based metabolism",,,"ID81, ID80","parameter, validation",
"frazer, tk; quetin, lb; ross, ra","energetic demands of larval krill, euphausia superba, in winter",observation,months,winter,1993,AntarcticPeninsula,carbonMetabolismStarved,conversion,gC gBodyC-1 d-1,NA,larvae,0.9,NA,NA,NA,overwintering,"10mg larva, protein based metabolism",,,"ID81, ID80","parameter, validation",
"makarov r.r., solyankin y.v., shevtsov v.v.",environmental conditions and adaptive features of the biology of euphausia superba dana in the lazarev sea,observation,weeks,autumn,1985,LazarevSea,NA,NA,NA,NA,NA,NA,NA,NA,NA,spawning,NA,,,-,-,
"groeneveld, j; johst, k; kawaguchi, s; meyer, b; teschke, m; grimm, v",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,metabolicSwitchingDayLength,mechanistic model,hours,NA,"larvae, juveniles, adults",12,NA,NA,NA,overwintering,maximum day length at which metabolism is reduced,,,"ID20, ID82",parameter,
"groeneveld, j; johst, k; kawaguchi, s; meyer, b; teschke, m; grimm, v",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,halfSaturationFoodDensity,mechanistic model,NA,NA,"larvae, juveniles, adults",1,NA,NA,NA,NA,unitless but analogous to mug Chla l-1,,,"ID5, ID68",parameter,
"groeneveld, j; johst, k; kawaguchi, s; meyer, b; teschke, m; grimm, v",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,dailyBertalanffyGrowthRate,mechanistic model,mm d-1,NA,"larvae, juveniles, adults",0.03,NA,NA,NA,NA,,,,"ID1, ID2, ID3, 43, ID66, ID97, ID98, ID99",parameter,
"groeneveld, j; johst, k; kawaguchi, s; meyer, b; teschke, m; grimm, v",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,maximumBodyLength,mechanistic model,mm,NA,adults,70,NA,NA,NA,NA,,,,"ID1, ID2, ID3",parameter,
"groeneveld, j; johst, k; kawaguchi, s; meyer, b; teschke, m; grimm, v",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,minimumBodyLengthAdults,mechanistic model,mm,NA,adults,30,NA,NA,NA,NA,,,,ID35,parameter,
"groeneveld, j; johst, k; kawaguchi, s; meyer, b; teschke, m; grimm, v",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,spawningThreshold,mechanistic model,NA,NA,adults,0.1,NA,NA,NA,NA,spawning,,,"ID35, ID37",parameter,
"groeneveld, j; johst, k; kawaguchi, s; meyer, b; teschke, m; grimm, v",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,maxAge,mechanistic model,years,NA,adults,7,NA,NA,NA,NA,,,,-,-,
